,dim1,dim2,dim3,dim4
point1,11.358864169525068,8.934430858930957,9.621261149861189,4.323264960163692
point2,5.215786007860058,2.7651315707999333,5.65361121849995,9.382137900485583
point3,5.7885292785833755,4.631928405285929,4.325913893147656,5.692015226176959
point4,6.446126284994628,3.157074318086725,5.328182288677884,4.1474079729083835
point5,6.976303435340559,2.9768593474707306,7.389491826623802,4.281682594651736
point6,7.711887348560783,4.870784903049558,6.0457795555760985,3.4872259360356166
point7,9.769221253871393,6.931386924844411,9.88035100579358,4.840441422047988
point8,7.1919582987317705,4.503332731422173,7.011209795301948,4.4985269343652785
point9,2.88105159090867,0.0,9.671731878153082,5.514960164678372
point10,5.187990726243863,3.8238994918379694,4.053516970130515,4.1817177429941506
point11,9.121996550812248,5.874826331732738,8.269889623651455,3.3562304957586506
point12,6.756457440392843,3.7221285527039787,7.226558041104976,2.923266854586687
point13,5.928378065877405,2.8475985692047114,5.318082682048601,3.899103206768662
point14,12.283071099587016,9.747064594703545,11.115594455595714,6.02159343964822
point15,9.557776246302923,6.182552021505752,9.39669779420862,5.021109477627044
point16,7.416736567258713,3.8472083170074325,7.608634155333059,2.7272830183096706
point17,5.301987621999465,1.9561764720037418,5.38369139348237,5.332295842978673
point18,6.099005404983374,2.8013206123385714,5.945968864819168,4.925787114748728
point19,6.254444148258749,3.9654318592123383,6.864943923117716,5.461524194410883
point20,5.595943654586233,2.892702752709277,4.717403283915654,4.903671671177444
point21,4.5793030462329245,1.9167989704819681,4.581285640961772,9.025995090474744
point22,5.844192730903301,3.5265940809487875,6.539194347102042,6.91955436289233
point23,5.991645911892487,3.3476782721805716,6.992741385938526,3.559743261180911
point24,9.873297245719193,9.079427878287051,9.340067045733809,5.829231417179461
point25,3.760254310248408,3.887316280350419,3.601813472123964,4.484927601803273
point26,5.461326485603658,3.197785940084913,5.0145785247526256,4.2885963016248905
point27,4.180413159234802,2.5906739006824346,3.091246199433494,10.159065800907957
point28,8.13581065364879,6.2097970629939265,9.069732271068007,6.246149307248195
point29,3.6450145982211293,1.4332892366208139,3.1835747317302485,6.36508288993226
point30,2.8843965534242115,3.3682916073984965,0.0,4.775844154586618
point31,8.640820978947529,4.635595087863045,8.541219869469503,4.962537991879288
point32,4.4468816443848755,1.2942977092133643,4.9475877927275524,5.7255095307567005
point33,6.15812751180337,4.243552135551721,7.157997602152256,5.730548631112259
point34,11.425221518103118,7.99908274188742,11.23141024026547,5.155464078768834
point35,7.602036005550423,4.642072001806204,6.342984872982162,3.602319489134232
point36,7.966246837925231,4.24402515952155,8.024808900484215,5.6861255810857925
point37,5.7956019806195735,3.365373496898071,5.774359514546258,4.460408981780036
point38,6.638391659923642,5.250104791354654,6.357991980013951,0.0
point39,9.81845880617392,6.8040705636761505,9.645215765761375,5.685206038803524
point40,11.130310914078665,7.920642891584271,9.772475248634034,6.486199054711695
point41,5.498170361825315,3.145809734815886,6.1908327109501515,2.8963880299851894
point42,7.544855923564406,5.406851288929081,6.030628226586684,3.564840441882866
point43,7.322115724052719,4.325370345973006,6.325244279917481,2.372764454333707
point44,7.743138245481643,4.596670519854279,6.72952167304069,4.270115594336479
point45,6.741929681703343,4.068115566699019,6.772115432250073,3.2844505288574704
point46,5.898659348364798,1.7478216624282172,6.293168285265516,5.359078531201688
point47,10.373855159781595,8.013858048142922,9.740620545461718,4.0718952832087405
point48,3.4309792001631796,3.0104295218362744,1.8490379195133766,11.052942372091747
point49,5.682208657046741,1.667493142351981,5.479668411134179,4.894920820313483
point50,6.404716499490859,2.545889906478342,6.053691826009396,4.308071363144109
