,dim1,dim2,dim3,dim4,dim5,dim6
points1,18.386109563245316,8.998561571518943,4.350269423108174,10.985472390967752,4.899545692671239,24.668790192542982
points2,14.11380556059885,15.315715236846275,11.761979129034012,14.729292318544614,12.501776721975412,17.83372074323663
points3,13.088522820090468,15.487718391032638,8.55031634449172,9.352778090547277,6.541388168549354,18.57779505999131
points4,17.563849335821498,12.955993118825434,7.822028556924051,10.962374011333965,6.723095781318871,22.600200252513922
points5,12.65186973546286,9.740500034766201,14.223671448453317,9.48576125081733,15.325765336015568,18.08167566171813
points6,20.842914255129347,12.971634002094264,3.818412310279303,13.742002156323762,2.994822566704439,23.525501776449776
points7,13.008058920702558,13.027899514586846,7.259062590328178,11.336482929429778,9.394675735254069,21.65389075597461
points8,20.841872141607727,15.268328358656733,3.4684829418293748,15.040589761987354,3.7674359536325706,24.41305643467935
points9,13.12504945056254,16.06126505396765,14.053681605298182,15.045122930608372,13.595754026997918,14.676649612747113
points10,18.082814539296937,13.25611381376669,6.3899456537277315,10.370880460863964,5.453057024877792,20.746264810377866
points11,16.263262310199515,9.879156440947577,10.371942887842376,10.370356820806654,11.649464404177317,20.85981526868775
points12,20.074797880760823,20.991560649138364,9.966194990137192,20.146641448350817,9.024391429507334,18.461302642212832
points13,20.271819867287075,16.019700322434236,6.67030385884137,14.683456263917575,5.75604961612471,24.16497793117899
points14,11.067564850886553,7.807833145527988,5.1614114366463815,7.584769941634555,7.985296444066676,22.44928394814714
points15,11.984961787750166,11.040945065804024,9.00951199098161,7.535826270649718,10.385165811572934,21.313552434747386
points16,15.332475756322172,10.487675853750751,13.710502297105238,10.217828895417156,14.609015946064673,16.529838349427422
points17,12.229663920035804,14.65250145812393,11.621236788377047,15.06539045747056,11.562088916497439,13.515317985655335
points18,18.157284278400876,20.281128201736337,10.941000287747604,18.52047474147769,10.138144099955685,19.6609931590261
points19,21.548397518654532,22.022769039547857,10.223989409018362,21.892814865130024,10.148221778562936,18.50835662802634
points20,17.86933422167711,16.888143379823997,6.48429091579596,14.250151238764134,5.601056579043605,24.072356050457774
points21,12.485941795328747,15.193504080392783,14.664013599409625,11.71248198230364,15.201434778301754,12.68985753998347
points22,17.973210916046916,19.978044693762385,14.570702633172997,19.332988185116342,15.118973962536392,14.087959406970484
points23,15.581468131230688,15.434689575404958,8.170238515412954,13.73852424631807,8.323150214723238,20.571580624565453
points24,6.418314001268423,4.835134878161738,11.935540582791894,0.0,13.656475548204034,13.09119258368599
