,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
points1,18.386109563245316,8.998561571518943,4.350269423108174,10.985472390967752,18.55023619810494,6.283963588795045,24.668790192542982,12.540326916923426,23.338788975890054
points2,14.11380556059885,15.315715236846275,11.761979129034012,14.729292318544614,11.254794832649655,11.83707794761041,17.83372074323663,22.88342925188996,17.62668395999582
points3,13.088522820090468,15.487718391032638,8.55031634449172,9.352778090547277,8.347292215892411,14.90124535422403,18.57779505999131,19.410246010911713,13.457293298894516
points4,17.563849335821498,12.955993118825434,7.822028556924051,10.962374011333965,15.391413418348737,10.114290422064753,22.600200252513922,16.812919870264984,19.700224126391248
points5,12.65186973546286,9.740500034766201,14.223671448453317,9.48576125081733,12.977074237267132,4.3632206152901825,18.08167566171813,20.45097027787212,25.954133077406468
points6,20.842914255129347,12.971634002094264,3.818412310279303,13.742002156323762,17.662173558240575,11.976697365370915,23.525501776449776,12.829829882435535,18.009594334948883
points7,13.008058920702558,13.027899514586846,7.259062590328178,11.336482929429778,11.874413201724707,8.567880315612847,21.65389075597461,21.165070710079753,20.122628539909893
points8,20.841872141607727,15.268328358656733,3.4684829418293748,15.040589761987354,17.700867154271776,11.29521224087246,24.41305643467935,15.535694454536403,18.92297755766877
points9,13.12504945056254,16.06126505396765,14.053681605298182,15.045122930608372,8.856303533428246,14.191906829127909,14.676649612747113,24.5053017967935,15.466056229692324
points10,18.082814539296937,13.25611381376669,6.3899456537277315,10.370880460863964,14.105901933382793,12.78715834287832,20.746264810377866,15.902102140656348,17.23835374948557
points11,16.263262310199515,9.879156440947577,10.371942887842376,10.370356820806654,17.637373921586313,4.816469027657346,20.85981526868775,15.83769553264198,25.66812894874269
points12,20.074797880760823,20.991560649138364,9.966194990137192,20.146641448350817,17.394823301238713,16.652070540777085,18.461302642212832,16.338850094107283,14.118487351010243
points13,20.271819867287075,16.019700322434236,6.67030385884137,14.683456263917575,16.934258135639926,11.232401365749583,24.16497793117899,17.74290325234697,19.134455716720687
points14,11.067564850886553,7.807833145527988,5.1614114366463815,7.584769941634555,11.26916785593713,4.7182710061431585,22.44928394814714,19.172755155588206,22.5633215142915
points15,11.984961787750166,11.040945065804024,9.00951199098161,7.535826270649718,10.71996705993658,6.0157274344352585,21.313552434747386,21.426050498261944,22.32437595748339
points16,15.332475756322172,10.487675853750751,13.710502297105238,10.217828895417156,15.631805531439808,7.613099065821549,16.529838349427422,16.52114499206984,23.78273082172559
points17,12.229663920035804,14.65250145812393,11.621236788377047,15.06539045747056,11.50660236198022,14.470141902490212,13.515317985655335,18.59784616124653,15.62425930037482
points18,18.157284278400876,20.281128201736337,10.941000287747604,18.52047474147769,14.727274440518999,14.527784786709725,19.6609931590261,20.366306102564923,15.87525734426012
points19,21.548397518654532,22.022769039547857,10.223989409018362,21.892814865130024,17.499205896316905,17.740473087956662,18.50835662802634,17.189389042879114,13.47029073015306
points20,17.86933422167711,16.888143379823997,6.48429091579596,14.250151238764134,12.273310570422533,12.660293352312461,24.072356050457774,21.064073719594106,16.615090486708137
points21,12.485941795328747,15.193504080392783,14.664013599409625,11.71248198230364,8.989936634486362,12.89407655042032,12.68985753998347,23.02418368258372,17.3512978930532
points22,17.973210916046916,19.978044693762385,14.570702633172997,19.332988185116342,13.827132872688688,16.730161197021573,14.087959406970484,18.23619218160338,13.598697110549708
