,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12
points1,18.386109563245316,8.998561571518943,6.283963588795045,23.338788975890054,4.350269423108174,24.668790192542982,18.55023619810494,10.985472390967752,21.025986628851413,17.149793380179737,17.53315989879573,4.899545692671239
points2,14.11380556059885,15.315715236846275,11.83707794761041,17.62668395999582,11.761979129034012,17.83372074323663,11.254794832649655,14.729292318544614,15.853083653669625,12.54995088393818,12.936379926792972,12.501776721975412
points3,13.088522820090468,15.487718391032638,14.90124535422403,13.457293298894516,8.55031634449172,18.57779505999131,8.347292215892411,9.352778090547277,15.101532479433386,11.66051429812169,7.3026673325420255,6.541388168549354
points4,17.563849335821498,12.955993118825434,10.114290422064753,19.700224126391248,7.822028556924051,22.600200252513922,15.391413418348737,10.962374011333965,18.859508418330993,14.32108992673426,13.83566270756985,6.723095781318871
points5,12.65186973546286,9.740500034766201,4.3632206152901825,25.954133077406468,14.223671448453317,18.08167566171813,12.977074237267132,9.48576125081733,25.69663389196922,21.039801877822274,12.389409600942226,15.325765336015568
points6,20.842914255129347,12.971634002094264,11.976697365370915,18.009594334948883,3.818412310279303,23.525501776449776,17.662173558240575,13.742002156323762,14.471745689008166,18.390314253987487,16.131454022115435,2.994822566704439
points7,13.008058920702558,13.027899514586846,8.567880315612847,20.122628539909893,7.259062590328178,21.65389075597461,11.874413201724707,11.336482929429778,19.037591201270708,15.044619072438843,13.036935732231562,9.394675735254069
points8,20.841872141607727,15.268328358656733,11.29521224087246,18.92297755766877,3.4684829418293748,24.41305643467935,17.700867154271776,15.040589761987354,15.286076085432683,16.641147763733656,17.102662641324375,3.7674359536325706
points9,13.12504945056254,16.06126505396765,14.191906829127909,15.466056229692324,14.053681605298182,14.676649612747113,8.856303533428246,15.045122930608372,13.77581116849715,18.422389558073267,9.724255503227425,13.595754026997918
points10,18.082814539296937,13.25611381376669,12.78715834287832,17.23835374948557,6.3899456537277315,20.746264810377866,14.105901933382793,10.370880460863964,15.777339768796402,20.34818190240756,12.205677966307123,5.453057024877792
points11,16.263262310199515,9.879156440947577,4.816469027657346,25.66812894874269,10.371942887842376,20.85981526868775,17.637373921586313,10.370356820806654,23.54420620012766,19.583878091018605,17.396407778014662,11.649464404177317
points12,20.074797880760823,20.991560649138364,16.652070540777085,14.118487351010243,9.966194990137192,18.461302642212832,17.394823301238713,20.146641448350817,11.426283647538165,11.434549874884754,16.876986957525236,9.024391429507334
points13,20.271819867287075,16.019700322434236,11.232401365749583,19.134455716720687,6.67030385884137,24.16497793117899,16.934258135639926,14.683456263917575,16.272851643862104,15.60299490219577,16.716675918723364,5.75604961612471
points14,11.067564850886553,7.807833145527988,4.7182710061431585,22.5633215142915,5.1614114366463815,22.44928394814714,11.26916785593713,7.584769941634555,23.308615794791205,13.555351762868163,11.445693354331958,7.985296444066676
points15,11.984961787750166,11.040945065804024,6.0157274344352585,22.32437595748339,9.00951199098161,21.313552434747386,10.71996705993658,7.535826270649718,23.573973426482702,14.018074874751356,11.133043759813711,10.385165811572934
points16,15.332475756322172,10.487675853750751,7.613099065821549,23.78273082172559,13.710502297105238,16.529838349427422,15.631805531439808,10.217828895417156,22.257739069808036,23.28588796567055,15.133807396874971,14.609015946064673
points17,12.229663920035804,14.65250145812393,14.470141902490212,15.62425930037482,11.621236788377047,13.515317985655335,11.50660236198022,15.06539045747056,13.733995767234646,17.006050905321278,11.707267955012066,11.562088916497439
points18,18.157284278400876,20.281128201736337,14.527784786709725,15.87525734426012,10.941000287747604,19.6609931590261,14.727274440518999,18.52047474147769,13.716673113700658,13.73472767225234,13.89723866861478,10.138144099955685
points19,21.548397518654532,22.022769039547857,17.740473087956662,13.47029073015306,10.223989409018362,18.50835662802634,17.499205896316905,21.892814865130024,9.748813321345509,13.674254614358247,17.5803379303132,10.148221778562936
points20,17.86933422167711,16.888143379823997,12.660293352312461,16.615090486708137,6.48429091579596,24.072356050457774,12.273310570422533,14.250151238764134,15.493161241276356,13.62676303746658,12.14378109762472,5.601056579043605
points21,12.485941795328747,15.193504080392783,12.89407655042032,17.3512978930532,14.664013599409625,12.68985753998347,8.989936634486362,11.71248198230364,16.76095447710764,19.91247475997093,8.692077072403933,15.201434778301754
points22,17.973210916046916,19.978044693762385,16.730161197021573,13.598697110549708,14.570702633172997,14.087959406970484,13.827132872688688,19.332988185116342,12.39145240538757,13.861492703539597,13.372723453569613,15.118973962536392
points23,15.581468131230688,15.434689575404958,11.879129374774973,17.95373865024208,8.170238515412954,20.571580624565453,13.79354673521528,13.73852424631807,15.739657527085633,15.871298142459123,14.000578439337076,8.323150214723238
points24,6.418314001268423,4.835134878161738,4.653636706613583,23.00894030971502,11.935540582791894,14.437096928844888,7.979043978266986,0.0,0.0,16.451926350251053,7.611269360833222,14.590539016521975
points25,19.54136177325466,24.327992185399484,20.483797769909057,10.207702760362535,11.491176617852574,15.601602014509671,14.712360733448895,20.327511477003736,8.877700268182641,11.409343450428265,13.591041800518612,10.05822425606469
points26,21.39143463832288,18.138065371929006,16.95036888029085,13.868644669003766,7.655401740972189,17.236416971261015,19.39005468995567,19.308729424812697,8.865818746765788,17.77662477079803,18.533946721683986,6.895397127687095
points27,17.7143721850184,18.903897916542366,15.729310285338837,12.858005828099964,9.22656401844808,17.11070038052976,13.158869135006908,15.347159176481542,12.565850715324041,5.854319211511844,12.739004740661272,9.212744725274899
points28,14.752373524058436,8.359644156131088,3.550240236216621,25.894139030556232,9.645260286726772,20.43358289033457,14.82182896036402,8.250246119471155,25.152902833738725,20.045074292447723,14.749964850265474,11.806266452616136
