,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15
points1,18.386109563245316,8.998561571518943,6.283963588795045,10.985472390967752,4.350269423108174,23.338788975890054,23.03310332340861,24.668790192542982,4.899545692671239,18.221266730609702,22.999090840255768,10.828906470161826,18.09728724718615,19.618433424643808,5.865571637262915
points2,14.11380556059885,15.315715236846275,11.83707794761041,14.729292318544614,11.761979129034012,17.62668395999582,15.211097999480467,17.83372074323663,12.501776721975412,17.210276917212223,17.332024063859716,11.916282477442865,17.08307914805604,15.725439691903462,12.447319395894437
points3,13.088522820090468,15.487718391032638,14.90124535422403,9.352778090547277,8.55031634449172,13.457293298894516,23.789738100095743,18.57779505999131,6.541388168549354,16.593597406319457,14.204978556545495,13.64698859789073,16.464436560141916,21.316182996464597,5.2406427406827065
points4,17.563849335821498,12.955993118825434,10.114290422064753,10.962374011333965,7.822028556924051,19.700224126391248,23.342095286853347,22.600200252513922,6.723095781318871,15.787372497311216,19.09016396841809,13.087771998619946,15.655645193897847,19.642452167235675,3.3738131214235394
points5,12.65186973546286,9.740500034766201,4.3632206152901825,9.48576125081733,14.223671448453317,25.954133077406468,17.559164306189718,18.08167566171813,15.325765336015568,18.73942834667591,24.959248328074487,8.324452611267514,18.61709832807789,21.177901075991354,12.191353818098413
points6,20.842914255129347,12.971634002094264,11.976697365370915,13.742002156323762,3.818412310279303,18.009594334948883,21.580275372123186,23.525501776449776,2.994822566704439,14.664796227390639,17.189539592515402,15.549698356138721,14.529495424872348,16.75206877350292,3.6452028893204234
points7,13.008058920702558,13.027899514586846,8.567880315612847,11.336482929429778,7.259062590328178,20.122628539909893,18.07173539361498,21.65389075597461,9.394675735254069,18.07831042952103,20.668307109490765,10.214612585227254,17.95387587304126,19.25343674937825,11.567360068363373
points8,20.841872141607727,15.268328358656733,11.29521224087246,15.040589761987354,3.4684829418293748,18.92297755766877,19.225814310492698,24.41305643467935,3.7674359536325706,12.683449510594281,17.885009099913987,16.776871911213856,12.54184148342788,15.401738493719755,4.68121986525834
points9,13.12504945056254,16.06126505396765,14.191906829127909,15.045122930608372,14.053681605298182,15.466056229692324,13.703650619567942,14.676649612747113,13.595754026997918,17.460979786632056,14.928873028916412,11.989167537460805,17.334580080381244,15.397024699420761,12.965447599958715
points10,18.082814539296937,13.25611381376669,12.78715834287832,10.370880460863964,6.3899456537277315,17.23835374948557,23.792951725134035,20.746264810377866,5.453057024877792,15.470536011328933,16.36244758928544,14.816465740934614,15.337800121746941,20.257513983637306,4.870402971171671
points11,16.263262310199515,9.879156440947577,4.816469027657346,10.370356820806654,10.371942887842376,25.66812894874269,19.095998810292603,20.85981526868775,11.649464404177317,17.903954216793093,24.49669905334135,9.649028914758862,17.77896463186063,20.25805848831455,10.237164229051613
points12,20.074797880760823,20.991560649138364,16.652070540777085,20.146641448350817,9.966194990137192,14.118487351010243,10.490326350249141,18.461302642212832,9.024391429507334,7.815425558097582,12.418225645498127,19.160870636896387,7.658321141328865,10.092234404689801,8.686643730771697
points13,20.271819867287075,16.019700322434236,11.232401365749583,14.683456263917575,6.67030385884137,19.134455716720687,19.190944744415866,24.16497793117899,5.75604961612471,12.375472477441736,17.94910888259542,16.63844365551175,12.232884066419201,15.773102100045008,2.5581663802976236
points14,11.067564850886553,7.807833145527988,4.7182710061431585,7.584769941634555,5.1614114366463815,22.5633215142915,20.56960707057597,22.44928394814714,7.985296444066676,21.71076382327912,24.59691214265896,5.7830432810324535,21.597892462369302,23.154638044062445,11.751094173536725
points15,11.984961787750166,11.040945065804024,6.0157274344352585,7.535826270649718,9.00951199098161,22.32437595748339,20.338690763941695,21.313552434747386,10.385165811572934,18.60871224371074,23.27283132179069,8.649672696114576,18.485966116301714,23.205531892614772,8.920253128125896
