,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18
points1,4.350269423108174,24.668790192542982,4.899545692671239,5.865571637262915,10.985472390967752,18.386109563245316,8.998561571518943,6.283963588795045,18.221266730609702,4.367961015312448,11.493259341859202,18.55023619810494,17.149793380179737,22.579620197343935,12.540326916923426,12.04788997719364,22.687079980314515,17.75965142995561
points2,11.761979129034012,17.83372074323663,12.501776721975412,12.447319395894437,14.729292318544614,14.11380556059885,15.315715236846275,11.83707794761041,17.210276917212223,11.513311274568705,16.55878930543638,11.254794832649655,12.54995088393818,15.889547259781896,22.88342925188996,17.663570790288283,17.096893911531176,13.42489959509616
points3,8.55031634449172,18.57779505999131,6.541388168549354,5.2406427406827065,9.352778090547277,13.088522820090468,15.487718391032638,14.90124535422403,16.593597406319457,6.944650395548027,10.439858368369693,8.347292215892411,11.66051429812169,15.707390277704128,19.410246010911713,16.619305950010883,14.012270609711475,12.384630401257104
points4,7.822028556924051,22.600200252513922,6.723095781318871,3.3738131214235394,10.962374011333965,17.563849335821498,12.955993118825434,10.114290422064753,15.787372497311216,7.710437982027493,10.357199302102755,15.391413418348737,14.32108992673426,18.38857038289914,16.812919870264984,14.717474505065738,18.831182493125155,16.92537230858469
points5,14.223671448453317,18.08167566171813,15.325765336015568,12.191353818098413,9.48576125081733,12.65186973546286,9.740500034766201,4.3632206152901825,18.73942834667591,14.659144947617307,19.045240067244656,12.977074237267132,21.039801877822274,21.793883028791196,20.45097027787212,7.288701024624481,24.620645529015185,11.941594802991139
points6,3.818412310279303,23.525501776449776,2.994822566704439,3.6452028893204234,13.742002156323762,20.842914255129347,12.971634002094264,11.976697365370915,14.664796227390639,2.360335625374734,6.847559001102335,17.662173558240575,18.390314253987487,18.37200617448819,12.829829882435535,10.805476763450418,16.956342416700632,20.2523669856461
points7,7.259062590328178,21.65389075597461,9.394675735254069,11.567360068363373,11.336482929429778,13.008058920702558,13.027899514586846,8.567880315612847,18.07831042952103,7.463251019345288,17.269056170961946,11.874413201724707,15.044619072438843,18.312419151219995,21.165070710079753,14.994541442261228,20.387916187973353,12.302990369251978
points8,3.4684829418293748,24.41305643467935,3.7674359536325706,4.68121986525834,15.040589761987354,20.841872141607727,15.268328358656733,11.29521224087246,12.683449510594281,2.930451772747254,8.650623897009792,17.700867154271776,16.641147763733656,15.939731518099276,15.535694454536403,12.893456053035356,17.64237702771251,20.25130963965734
points9,14.053681605298182,14.676649612747113,13.595754026997918,12.965447599958715,15.045122930608372,13.12504945056254,16.06126505396765,14.191906829127909,17.460979786632056,11.962881996053456,16.451664800643854,8.856303533428246,18.422389558073267,15.099985549022149,24.5053017967935,13.266024853096695,14.726344566202004,12.421690937764332
points10,6.3899456537277315,20.746264810377866,5.453057024877792,4.870402971171671,10.370880460863964,18.082814539296937,13.25611381376669,12.78715834287832,15.470536011328933,5.476548213432315,8.46825935257828,14.105901933382793,20.34818190240756,18.07073272283886,15.902102140656348,8.58331340604989,16.140470930358525,17.451923173551204
points11,10.371942887842376,20.85981526868775,11.649464404177317,10.237164229051613,10.370356820806654,16.263262310199515,9.879156440947577,4.816469027657346,17.903954216793093,10.857089002062565,16.551731994415547,17.637373921586313,19.583878091018605,21.647041346641686,15.83769553264198,8.508262803711935,24.1643713021949,15.605774734952993
points12,9.966194990137192,18.461302642212832,9.024391429507334,8.686643730771697,20.146641448350817,20.074797880760823,20.991560649138364,16.652070540777085,7.815425558097582,9.161887658635935,11.48876794612949,17.394823301238713,11.434549874884754,9.87864079743396,16.338850094107283,17.06381991218163,12.249757192135855,19.473023132512747
points13,6.67030385884137,24.16497793117899,5.75604961612471,2.5581663802976236,14.683456263917575,20.271819867287075,16.019700322434236,11.232401365749583,12.375472477441736,5.9022121706508255,8.71808250837467,16.934258135639926,15.60299490219577,15.144003963061206,17.74290325234697,13.29659314810515,17.70560721826722,19.672924969337398
points14,5.1614114366463815,22.44928394814714,7.985296444066676,11.751094173536725,7.584769941634555,11.067564850886553,7.807833145527988,4.7182710061431585,21.71076382327912,6.009081928673392,17.948869756911172,11.26916785593713,13.555351762868163,23.84064065699032,19.172755155588206,15.482706120040117,24.26322487811294,10.334132295374678
points15,9.00951199098161,21.313552434747386,10.385165811572934,8.920253128125896,7.535826270649718,11.984961787750166,11.040945065804024,6.0157274344352585,18.60871224371074,9.386145709846563,16.84360057770689,10.71996705993658,14.018074874751356,20.416669085637515,21.426050498261944,13.629736393855602,22.95710683666148,11.264938729771817
points16,13.710502297105238,16.529838349427422,14.609015946064673,13.11086880301995,10.217828895417156,15.332475756322172,10.487675853750751,7.613099065821549,16.725154274076626,13.875832420420647,17.465078729715575,15.631805531439808,23.28588796567055,21.002599328724635,16.52114499206984,4.301752895023876,21.34907140582798,14.66138296887478
points17,11.621236788377047,13.515317985655335,11.562088916497439,15.044466624093328,15.06539045747056,12.229663920035804,14.65250145812393,14.470141902490212,16.494574365866484,11.499794828347968,17.81669368369335,11.50660236198022,17.006050905321278,16.59191240521147,18.59784616124653,12.738060352252127,14.446252039656473,11.5132176481873
