,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21
points1,18.386109563245316,4.350269423108174,18.55023619810494,12.540326916923426,10.985472390967752,24.668790192542982,17.53315989879573,4.899545692671239,4.367961015312448,5.243735752589912,17.38094966706561,8.998561571518943,6.283963588795045,23.03310332340861,23.338788975890054,18.221266730609702,10.828906470161826,18.09728724718615,17.142883938920047,16.243508416719628,17.149793380179737
points2,14.11380556059885,11.761979129034012,11.254794832649655,22.88342925188996,14.729292318544614,17.83372074323663,12.936379926792972,12.501776721975412,11.513311274568705,12.2322113915011,10.565843489822065,15.315715236846275,11.83707794761041,15.211097999480467,17.62668395999582,17.210276917212223,11.916282477442865,17.08307914805604,8.561172897144235,6.634605835290153,12.54995088393818
points3,13.088522820090468,8.55031634449172,8.347292215892411,19.410246010911713,9.352778090547277,18.57779505999131,7.3026673325420255,6.541388168549354,6.944650395548027,5.030604491150741,8.186214147845996,15.487718391032638,14.90124535422403,23.789738100095743,13.457293298894516,16.593597406319457,13.64698859789073,16.464436560141916,11.682528356288215,9.422053434558395,11.66051429812169
points4,17.563849335821498,7.822028556924051,15.391413418348737,16.812919870264984,10.962374011333965,22.600200252513922,13.83566270756985,6.723095781318871,7.710437982027493,6.78887536774703,14.8457637749246,12.955993118825434,10.114290422064753,23.342095286853347,19.700224126391248,15.787372497311216,13.087771998619946,15.655645193897847,14.218827070078062,12.572966050685565,14.32108992673426
points5,12.65186973546286,14.223671448453317,12.977074237267132,20.45097027787212,9.48576125081733,18.08167566171813,12.389409600942226,15.325765336015568,14.659144947617307,15.066140937652683,13.01175244034781,9.740500034766201,4.3632206152901825,17.559164306189718,25.954133077406468,18.73942834667591,8.324452611267514,18.61709832807789,11.289898963077999,9.151991171336288,21.039801877822274
points6,20.842914255129347,3.818412310279303,17.662173558240575,12.829829882435535,13.742002156323762,23.525501776449776,16.131454022115435,2.994822566704439,2.360335625374734,3.3762546008949554,17.267852853472313,12.971634002094264,11.976697365370915,21.580275372123186,18.009594334948883,14.664796227390639,15.549698356138721,14.529495424872348,19.114701858839705,17.370438947095412,18.390314253987487
points7,13.008058920702558,7.259062590328178,11.874413201724707,21.165070710079753,11.336482929429778,21.65389075597461,13.036935732231562,9.394675735254069,7.463251019345288,8.467644983077605,11.934938329434138,13.027899514586846,8.567880315612847,18.07173539361498,20.122628539909893,18.07831042952103,10.214612585227254,17.95387587304126,11.109203188135094,8.638509205252591,15.044619072438843
points8,20.841872141607727,3.4684829418293748,17.700867154271776,15.535694454536403,15.040589761987354,24.41305643467935,17.102662641324375,3.7674359536325706,2.930451772747254,4.075998947289554,17.555415393560338,15.268328358656733,11.29521224087246,19.225814310492698,18.92297755766877,12.683449510594281,16.776871911213856,12.54184148342788,16.643835259458733,14.643187449206797,16.641147763733656
points9,13.12504945056254,14.053681605298182,8.856303533428246,24.5053017967935,15.045122930608372,14.676649612747113,9.724255503227425,13.595754026997918,11.962881996053456,12.79020240384353,10.237161958292269,16.06126505396765,14.191906829127909,13.703650619567942,15.466056229692324,17.460979786632056,11.989167537460805,17.334580080381244,11.16230370914221,6.910979777503768,18.422389558073267
points10,18.082814539296937,6.3899456537277315,14.105901933382793,15.902102140656348,10.370880460863964,20.746264810377866,12.205677966307123,5.453057024877792,5.476548213432315,5.4110709260582395,14.41499382416929,13.25611381376669,12.78715834287832,23.792951725134035,17.23835374948557,15.470536011328933,14.816465740934614,15.337800121746941,17.750832953279367,14.97242196268477,20.34818190240756
points11,16.263262310199515,10.371942887842376,17.637373921586313,15.83769553264198,10.370356820806654,20.85981526868775,17.396407778014662,11.649464404177317,10.857089002062565,11.590092134597233,17.043938158482746,9.879156440947577,4.816469027657346,19.095998810292603,25.66812894874269,17.903954216793093,9.649028914758862,17.77896463186063,14.589314324493335,13.635308062766494,19.583878091018605
points12,20.074797880760823,9.966194990137192,17.394823301238713,16.338850094107283,20.146641448350817,18.461302642212832,16.876986957525236,9.024391429507334,9.161887658635935,9.253810300391452,16.07247890057362,20.991560649138364,16.652070540777085,10.490326350249141,14.118487351010243,7.815425558097582,19.160870636896387,7.658321141328865,13.146797365763668,12.620848386290549,11.434549874884754
points13,20.271819867287075,6.67030385884137,16.934258135639926,17.74290325234697,14.683456263917575,24.16497793117899,16.716675918723364,5.75604961612471,5.9022121706508255,6.500633408004377,16.484620813406792,16.019700322434236,11.232401365749583,19.190944744415866,19.134455716720687,12.375472477441736,16.63844365551175,12.232884066419201,13.951426244726749,12.309812532984102,15.60299490219577
points14,11.067564850886553,5.1614114366463815,11.26916785593713,19.172755155588206,7.584769941634555,22.44928394814714,11.445693354331958,7.985296444066676,6.009081928673392,6.655650640169995,10.115117948555818,7.807833145527988,4.7182710061431585,20.56960707057597,22.5633215142915,21.71076382327912,5.7830432810324535,21.597892462369302,10.444577004639202,9.114334158248546,13.555351762868163
points15,11.984961787750166,9.00951199098161,10.71996705993658,21.426050498261944,7.535826270649718,21.313552434747386,11.133043759813711,10.385165811572934,9.386145709846563,8.878160798065586,11.351637477700626,11.040945065804024,6.0157274344352585,20.338690763941695,22.32437595748339,18.60871224371074,8.649672696114576,18.485966116301714,10.793527408213887,7.923115519862413,14.018074874751356
points16,15.332475756322172,13.710502297105238,15.631805531439808,16.52114499206984,10.217828895417156,16.529838349427422,15.133807396874971,14.609015946064673,13.875832420420647,14.477062543565513,16.390305461987587,10.487675853750751,7.613099065821549,17.212694228038384,23.78273082172559,16.725154274076626,9.78935947776814,16.596412213118203,16.815878758681286,14.059462579865274,23.28588796567055
points17,12.229663920035804,11.621236788377047,11.50660236198022,18.59784616124653,15.06539045747056,13.515317985655335,11.707267955012066,11.562088916497439,11.499794828347968,11.921147571495194,10.8929286405338,14.65250145812393,14.470141902490212,12.90282955850316,15.62425930037482,16.494574365866484,10.251704552119833,16.365098299462126,12.97188541572577,11.213408456134804,17.006050905321278
points18,18.157284278400876,10.941000287747604,14.727274440518999,20.366306102564923,18.52047474147769,19.6609931590261,13.89723866861478,10.138144099955685,9.416994606250343,9.872235979218633,13.95207004053005,20.281128201736337,14.527784786709725,12.151353809141545,15.87525734426012,10.14060080513078,18.112223600761485,9.990898123002916,10.521451683726191,9.291922043302092,13.73472767225234
points19,21.548397518654532,10.223989409018362,17.499205896316905,17.189389042879114,21.892814865130024,18.50835662802634,17.5803379303132,10.148221778562936,9.057721660773144,10.440686027519217,16.53466103927998,22.022769039547857,17.740473087956662,8.792902817676337,13.47029073015306,7.673791219679042,20.715501553188084,7.516235938060313,13.836581876266491,12.769336026390697,13.674254614358247
points20,17.86933422167711,6.48429091579596,12.273310570422533,21.064073719594106,14.250151238764134,24.072356050457774,12.14378109762472,5.601056579043605,5.059244807068786,5.728192574221734,11.748015427651548,16.888143379823997,12.660293352312461,19.437911898664158,16.615090486708137,13.03209563881341,16.884156552243752,12.891597457508276,10.502960606032817,8.369557296726377,13.62676303746658
points21,12.485941795328747,14.664013599409625,8.989936634486362,23.02418368258372,11.71248198230364,12.68985753998347,8.692077072403933,15.201434778301754,14.077993874095114,14.175102487699563,11.209787955851617,15.193504080392783,12.89407655042032,15.617250899158684,17.3512978930532,16.146266210577412,11.691930823733152,16.015681374181636,13.401568892634899,8.289188283128059,19.91247475997093
points22,17.973210916046916,14.570702633172997,13.827132872688688,18.23619218160338,19.332988185116342,14.087959406970484,13.372723453569613,15.118973962536392,14.042707416100365,14.875618653363905,13.034760093314649,19.978044693762385,16.730161197021573,8.790227298393997,13.598697110549708,10.323679105712054,18.282091872905706,10.174559217075187,12.034169777860935,11.154359854072442,13.861492703539597
points23,15.581468131230688,8.170238515412954,13.79354673521528,19.6161024745007,13.73852424631807,20.571580624565453,14.000578439337076,8.323150214723238,6.921236731507256,8.160387294279563,13.88194683279535,15.434689575404958,11.879129374774973,16.480147228232155,17.95373865024208,14.615827603109455,12.922688466181427,14.480370918679412,13.601697090418986,11.350244796296343,15.871298142459123
points24,6.418314001268423,11.935540582791894,7.979043978266986,16.737513771878234,0.0,13.09119258368599,22.166646218849294,13.656475548204034,13.677130289828547,14.721587532319392,21.988344231273413,25.484409561943075,23.191141738174085,4.66112877744553,6.2279710276557845,4.967222283634752,23.605849737478163,4.8010511761434,16.850102656204086,18.45655111484276,11.653084128558557
points25,19.54136177325466,11.491176617852574,14.712360733448895,17.18191702432347,20.327511477003736,15.601602014509671,13.591041800518612,10.05822425606469,10.156369398717853,9.754379898907445,13.821749833897647,24.327992185399484,20.483797769909057,10.541791105928693,10.207702760362535,5.846562878127774,22.595946112734698,5.683190977168345,13.674020988549717,12.59976346097713,11.409343450428265
points26,21.39143463832288,7.655401740972189,19.39005468995567,13.022829906201386,19.308729424812697,17.236416971261015,18.533946721683986,6.895397127687095,6.325846051624824,7.908495594552015,18.35343075197616,18.138065371929006,16.95036888029085,12.102807964933588,13.868644669003766,10.952051942715519,17.16549442813536,10.804932354486526,18.4935218751869,17.528751889368845,17.77662477079803
points27,17.7143721850184,9.22656401844808,13.158869135006908,19.30082865270981,15.347159176481542,17.11070038052976,12.739004740661272,9.212744725274899,8.839253075934398,8.98734581965255,10.176513972830964,18.903897916542366,15.729310285338837,15.880068824597014,12.858005828099964,11.551022292881525,17.38144868234272,11.405809408069977,7.694616555438696,7.803282587820106,5.854319211511844
points28,14.752373524058436,9.645260286726772,14.82182896036402,18.228937908507447,8.250246119471155,20.43358289033457,14.749964850265474,11.806266452616136,9.905934391421129,11.095096445882485,15.081241137677644,8.359644156131088,3.550240236216621,19.92233561350432,25.894139030556232,18.889203868154496,8.71396244235704,18.767350630249496,14.54316338657293,11.76951586233022,20.045074292447723
points29,11.879420205267678,10.709595930805135,7.348498600847379,24.98314625571882,12.727371376836913,18.172484261635407,6.495141258355171,11.012613466429723,9.469878380166321,10.40388674352652,8.199485113512226,14.796228279984044,12.088713932141836,16.108611208886025,17.42972680369377,16.32065150686697,11.879582874539825,16.19062179150564,9.647437385025498,5.768707000629997,18.967469637999667
points30,8.928983776918306,12.783616160363858,3.9848256866574996,24.494124895933876,10.419823388304431,11.817004111692045,0.0,15.72712519009796,15.476204659482757,16.74683137699861,25.453692096362218,15.409623427195223,11.907890046441349,11.25464923577537,16.966341174751307,11.020271598668037,15.578840468333695,10.873369174195322,21.368555757684803,24.417363285502063,13.014877609298829
