,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
points1,18.386109563245316,10.985472390967752,18.623946765240788,8.998561571518943,23.03310332340861,7.371542003691625,18.221266730609702,19.94665534966173,18.55023619810494,7.371542003691621,12.540326916923426,17.53315989879573,17.149793380179737,4.350269423108174,24.668790192542982,4.899545692671239,6.283963588795045,17.38094966706561,22.579620197343935,19.946655349661732,22.687079980314515,5.865571637262915,17.142883938920047,10.828906470161826
points2,14.11380556059885,14.729292318544614,16.46281457475479,15.315715236846275,15.211097999480467,12.478012756452323,17.210276917212223,17.86054620521941,11.254794832649655,12.478012756452326,22.88342925188996,12.936379926792972,12.54995088393818,11.761979129034012,17.83372074323663,12.501776721975412,11.83707794761041,10.565843489822065,15.889547259781896,17.86054620521941,17.096893911531176,12.447319395894437,8.561172897144235,11.916282477442865
points3,13.088522820090468,9.352778090547277,16.979554691956366,15.487718391032638,23.789738100095743,13.219912248643247,16.593597406319457,18.35934784657204,8.347292215892411,13.219912248643247,19.410246010911713,7.3026673325420255,11.66051429812169,8.55031634449172,18.57779505999131,6.541388168549354,14.90124535422403,8.186214147845996,15.707390277704128,18.35934784657204,14.012270609711475,5.2406427406827065,11.682528356288215,13.64698859789073
points4,17.563849335821498,10.962374011333965,18.80670787071271,12.955993118825434,23.342095286853347,9.510197546158489,15.787372497311216,20.12307195899816,15.391413418348737,9.510197546158489,16.812919870264984,13.83566270756985,14.32108992673426,7.822028556924051,22.600200252513922,6.723095781318871,10.114290422064753,14.8457637749246,18.38857038289914,20.12307195899816,18.831182493125155,3.3738131214235394,14.218827070078062,13.087771998619946
points5,12.65186973546286,9.48576125081733,25.031109942467623,9.740500034766201,17.559164306189718,2.7608768201377702,18.73942834667591,26.131395807829254,12.977074237267132,2.7608768201377702,20.45097027787212,12.389409600942226,21.039801877822274,14.223671448453317,18.08167566171813,15.325765336015568,4.3632206152901825,13.01175244034781,21.793883028791196,26.131395807829254,24.620645529015185,12.191353818098413,11.289898963077999,8.324452611267514
points6,20.842914255129347,13.742002156323762,12.683316910930323,12.971634002094264,21.580275372123186,13.84161109766688,14.664796227390639,14.212252652139943,17.662173558240575,13.84161109766688,12.829829882435535,16.131454022115435,18.390314253987487,3.818412310279303,23.525501776449776,2.994822566704439,11.976697365370915,17.267852853472313,18.37200617448819,14.212252652139943,16.956342416700632,3.6452028893204234,19.114701858839705,15.549698356138721
points7,13.008058920702558,11.336482929429778,17.962379789439222,13.027899514586846,18.07173539361498,9.33440176436733,18.07831042952103,19.308054470013385,11.874413201724707,9.334401764367334,21.165070710079753,13.036935732231562,15.044619072438843,7.259062590328178,21.65389075597461,9.394675735254069,8.567880315612847,11.934938329434138,18.312419151219995,19.308054470013385,20.387916187973353,11.567360068363373,11.109203188135094,10.214612585227254
points8,20.841872141607727,15.040589761987354,14.071671631113498,15.268328358656733,19.225814310492698,13.037738615933412,12.683449510594281,15.552411060891634,17.700867154271776,13.037738615933412,15.535694454536403,17.102662641324375,16.641147763733656,3.4684829418293748,24.41305643467935,3.7674359536325706,11.29521224087246,17.555415393560338,15.939731518099276,15.552411060891634,17.64237702771251,4.68121986525834,16.643835259458733,16.776871911213856
points9,13.12504945056254,15.045122930608372,15.3038915394202,16.06126505396765,13.703650619567942,14.528608184578438,17.460979786632056,16.74185483022645,8.856303533428246,14.528608184578438,24.5053017967935,9.724255503227425,18.422389558073267,14.053681605298182,14.676649612747113,13.595754026997918,14.191906829127909,10.237161958292269,15.099985549022149,16.74185483022645,14.726344566202004,12.965447599958715,11.16230370914221,11.989167537460805
points10,18.082814539296937,10.370880460863964,15.483882568399991,13.25611381376669,23.792951725134035,12.552783911964275,15.470536011328933,16.915597525432844,14.105901933382793,12.552783911964275,15.902102140656348,12.205677966307123,20.34818190240756,6.3899456537277315,20.746264810377866,5.453057024877792,12.78715834287832,14.41499382416929,18.07073272283886,16.915597525432844,16.140470930358525,4.870402971171671,17.750832953279367,14.816465740934614
points11,16.263262310199515,10.370356820806654,21.656824533464693,9.879156440947577,19.095998810292603,4.885662285582315,17.903954216793093,22.87424768951063,17.637373921586313,4.885662285582313,15.83769553264198,17.396407778014662,19.583878091018605,10.371942887842376,20.85981526868775,11.649464404177317,4.816469027657346,17.043938158482746,21.647041346641686,22.87424768951063,24.1643713021949,10.237164229051613,14.589314324493335,9.649028914758862
points12,20.074797880760823,20.146641448350817,12.050017435187321,20.991560649138364,10.490326350249141,16.84796225445866,7.815425558097582,13.60093797489158,17.394823301238713,16.84796225445866,16.338850094107283,16.876986957525236,11.434549874884754,9.966194990137192,18.461302642212832,9.024391429507334,16.652070540777085,16.07247890057362,9.87864079743396,13.60093797489158,12.249757192135855,8.686643730771697,13.146797365763668,19.160870636896387
points13,20.271819867287075,14.683456263917575,16.043186916750713,16.019700322434236,19.190944744415866,12.063635573051215,12.375472477441736,17.45548579360879,16.934258135639926,12.063635573051215,17.74290325234697,16.716675918723364,15.60299490219577,6.67030385884137,24.16497793117899,5.75604961612471,11.232401365749583,16.484620813406792,15.144003963061206,17.45548579360879,17.70560721826722,2.5581663802976236,13.951426244726749,16.63844365551175
