,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27
points1,17.149793380179737,4.350269423108174,12.04788997719364,18.386109563245316,24.668790192542982,10.985472390967752,4.899545692671239,13.50628392982747,8.998561571518943,19.937985929030567,18.55023619810494,23.03310332340861,5.865571637262915,13.50628392982747,19.937985929030567,6.283963588795045,17.53315989879573,23.338788975890054,19.618433424643808,17.38094966706561,16.916570368476673,14.688644365073925,4.477370105453537,4.885985064500082,4.367961015312448,5.243735752589912,4.211219491951819
points2,12.54995088393818,11.761979129034012,17.663570790288283,14.11380556059885,17.83372074323663,14.729292318544614,12.501776721975412,14.329548308655866,15.315715236846275,15.650152819754611,11.254794832649655,15.211097999480467,12.447319395894437,14.329548308655866,15.650152819754611,11.83707794761041,12.936379926792972,17.62668395999582,15.725439691903462,10.565843489822065,9.49961588301258,6.220014637987285,12.058179618354663,11.507811588445856,11.513311274568705,12.2322113915011,11.40421170602642
points3,11.66051429812169,8.55031634449172,16.619305950010883,13.088522820090468,18.57779505999131,9.352778090547277,6.541388168549354,15.363989733285067,15.487718391032638,14.821047117900376,8.347292215892411,23.789738100095743,5.2406427406827065,15.363989733285067,14.821047117900376,14.90124535422403,7.3026673325420255,13.457293298894516,21.316182996464597,8.186214147845996,8.056946825259399,10.716420323708771,6.258248075591056,5.309733092850111,6.944650395548027,5.030604491150741,5.981439489102951
points4,14.32108992673426,7.822028556924051,14.717474505065738,17.563849335821498,22.600200252513922,10.962374011333965,6.723095781318871,15.093234483651118,12.955993118825434,17.301154704066423,15.391413418348737,23.342095286853347,3.3738131214235394,15.093234483651118,17.301154704066423,10.114290422064753,13.83566270756985,19.700224126391248,19.642452167235675,14.8457637749246,14.25106874461232,11.759224996742795,3.4889662321487815,2.7922239567511844,7.710437982027493,6.78887536774703,3.1245026782106606
points5,21.039801877822274,14.223671448453317,7.288701024624481,12.65186973546286,18.08167566171813,9.48576125081733,15.325765336015568,8.684430234816771,9.740500034766201,23.564133399337464,12.977074237267132,17.559164306189718,12.191353818098413,8.684430234816771,23.564133399337464,4.3632206152901825,12.389409600942226,25.954133077406468,21.177901075991354,13.01175244034781,11.437025525195267,8.152061987092495,11.350888629826432,10.883653644132284,14.659144947617307,15.066140937652683,11.041608618078362
points6,18.390314253987487,3.818412310279303,10.805476763450418,20.842914255129347,23.525501776449776,13.742002156323762,2.994822566704439,16.32940944488603,12.971634002094264,21.09436171359427,17.662173558240575,21.580275372123186,3.6452028893204234,16.32940944488603,21.09436171359427,11.976697365370915,16.131454022115435,18.009594334948883,16.75206877350292,17.267852853472313,17.56982663466197,17.743824429936538,2.2898349183568873,3.1722742197839797,2.360335625374734,3.3762546008949554,2.448292553069846
points7,15.044619072438843,7.259062590328178,14.994541442261228,13.008058920702558,21.65389075597461,11.336482929429778,9.394675735254069,11.290015353614809,13.027899514586846,17.97560654214852,11.874413201724707,18.07173539361498,11.567360068363373,11.290015353614809,17.97560654214852,8.567880315612847,13.036935732231562,20.122628539909893,19.25343674937825,11.934938329434138,10.029351597477032,7.205161626210117,10.346261517054893,11.000067261663792,7.463251019345288,8.467644983077605,10.332757131521975
points8,16.641147763733656,3.4684829418293748,12.893456053035356,20.841872141607727,24.41305643467935,15.040589761987354,3.7674359536325706,16.438661138240978,15.268328358656733,19.463841973695654,17.700867154271776,19.225814310492698,4.68121986525834,16.438661138240978,19.463841973695654,11.29521224087246,17.102662641324375,18.92297755766877,15.401738493719755,17.555415393560338,17.84879064456338,15.36947400938496,3.1218746323119233,4.109085534193208,2.930451772747254,4.075998947289554,3.246523090547104
points9,18.422389558073267,14.053681605298182,13.266024853096695,13.12504945056254,14.676649612747113,15.045122930608372,13.595754026997918,11.392734890406429,16.06126505396765,21.124261335366427,8.856303533428246,13.703650619567942,12.965447599958715,11.392734890406429,21.124261335366427,14.191906829127909,9.724255503227425,15.466056229692324,15.397024699420761,10.237161958292269,7.88162400109855,6.593824085781796,12.619682696752443,12.194037340216255,11.962881996053456,12.79020240384353,12.285617564096857
points10,20.34818190240756,6.3899456537277315,8.58331340604989,18.082814539296937,20.746264810377866,10.370880460863964,5.453057024877792,14.076041391631442,13.25611381376669,22.919426318161765,14.105901933382793,23.792951725134035,4.870402971171671,14.076041391631442,22.919426318161765,12.78715834287832,12.205677966307123,17.23835374948557,20.257513983637306,14.41499382416929,14.434917957609427,16.393512159109285,4.700281830836125,4.536726478825747,5.476548213432315,5.4110709260582395,4.453644556285397
