,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30
points1,18.386109563245316,8.998561571518943,6.283963588795045,23.338788975890054,10.985472390967752,21.025986628851413,18.221266730609702,4.350269423108174,24.668790192542982,4.899545692671239,17.149793380179737,10.828906470161826,18.09728724718615,23.03310332340861,10.828906470161826,18.09728724718615,10.883490606570506,18.55023619810494,4.367961015312448,5.243735752589912,22.999090840255768,12.540326916923426,17.53315989879573,12.642983888332836,10.828906470161826,17.031005036108294,7.981865795868829,18.09728724718615,14.991281208680322,17.38094966706561
points2,14.11380556059885,15.315715236846275,11.83707794761041,17.62668395999582,14.729292318544614,15.853083653669625,17.210276917212223,11.761979129034012,17.83372074323663,12.501776721975412,12.54995088393818,11.916282477442865,17.08307914805604,15.211097999480467,11.916282477442865,17.08307914805604,17.624445457737657,11.254794832649655,11.513311274568705,12.2322113915011,17.332024063859716,22.88342925188996,12.936379926792972,20.066922389357522,11.916282477442865,16.705238195739955,9.614836338945416,17.08307914805604,20.342358458156514,10.565843489822065
points3,13.088522820090468,15.487718391032638,14.90124535422403,13.457293298894516,9.352778090547277,15.101532479433386,16.593597406319457,8.55031634449172,18.57779505999131,6.541388168549354,11.66051429812169,13.64698859789073,16.464436560141916,23.789738100095743,13.64698859789073,16.464436560141916,13.264277850409611,8.347292215892411,6.944650395548027,5.030604491150741,14.204978556545495,19.410246010911713,7.3026673325420255,20.668471543617994,13.64698859789073,18.520780592121802,12.283032820567172,16.464436560141916,9.484548367435842,8.186214147845996
points4,17.563849335821498,12.955993118825434,10.114290422064753,19.700224126391248,10.962374011333965,18.859508418330993,15.787372497311216,7.822028556924051,22.600200252513922,6.723095781318871,14.32108992673426,13.087771998619946,15.655645193897847,23.342095286853347,13.087771998619946,15.655645193897847,14.23377529390108,15.391413418348737,7.710437982027493,6.78887536774703,19.09016396841809,16.812919870264984,13.83566270756985,17.57069708568065,13.087771998619946,16.734815620617077,11.28044426896677,15.655645193897847,14.046274410080713,14.8457637749246
points5,12.65186973546286,9.740500034766201,4.3632206152901825,25.954133077406468,9.48576125081733,25.69663389196922,18.73942834667591,14.223671448453317,18.08167566171813,15.325765336015568,21.039801877822274,8.324452611267514,18.61709832807789,17.559164306189718,8.324452611267514,18.61709832807789,10.670516740055742,12.977074237267132,14.659144947617307,15.066140937652683,24.959248328074487,20.45097027787212,12.389409600942226,20.627280297447715,8.324452611267514,19.805641092196375,15.11308373275762,18.61709832807789,15.10175614187055,13.01175244034781
points6,20.842914255129347,12.971634002094264,11.976697365370915,18.009594334948883,13.742002156323762,14.471745689008166,14.664796227390639,3.818412310279303,23.525501776449776,2.994822566704439,18.390314253987487,15.549698356138721,14.529495424872348,21.580275372123186,15.549698356138721,14.529495424872348,10.083387984167318,17.662173558240575,2.360335625374734,3.3762546008949554,17.189539592515402,12.829829882435535,16.131454022115435,12.850853133591487,15.549698356138721,13.544590309929786,6.751955811687314,14.529495424872348,15.279567324053888,17.267852853472313
points7,13.008058920702558,13.027899514586846,8.567880315612847,20.122628539909893,11.336482929429778,19.037591201270708,18.07831042952103,7.259062590328178,21.65389075597461,9.394675735254069,15.044619072438843,10.214612585227254,17.95387587304126,18.07173539361498,10.214612585227254,17.95387587304126,13.154089424223832,11.874413201724707,7.463251019345288,8.467644983077605,20.668307109490765,21.165070710079753,13.036935732231562,19.358208084521998,10.214612585227254,20.39005848941094,7.730323617085996,17.95387587304126,18.41339331052726,11.934938329434138
points8,20.841872141607727,15.268328358656733,11.29521224087246,18.92297755766877,15.040589761987354,15.286076085432683,12.683449510594281,3.4684829418293748,24.41305643467935,3.7674359536325706,16.641147763733656,16.776871911213856,12.54184148342788,19.225814310492698,16.776871911213856,12.54184148342788,13.562143278851257,17.700867154271776,2.930451772747254,4.075998947289554,17.885009099913987,15.535694454536403,17.102662641324375,14.882747985088503,16.776871911213856,13.242496171670298,5.5492195470597885,12.54184148342788,18.310708623535923,17.555415393560338
points9,13.12504945056254,16.06126505396765,14.191906829127909,15.466056229692324,15.045122930608372,13.77581116849715,17.460979786632056,14.053681605298182,14.676649612747113,13.595754026997918,18.422389558073267,11.989167537460805,17.334580080381244,13.703650619567942,11.989167537460805,17.334580080381244,11.14054948490683,8.856303533428246,11.962881996053456,12.79020240384353,14.928873028916412,24.5053017967935,9.724255503227425,22.79353327213851,11.989167537460805,16.676912796307327,10.83807665916328,17.334580080381244,18.382893628860625,10.237161958292269
points10,18.082814539296937,13.25611381376669,12.78715834287832,17.23835374948557,10.370880460863964,15.777339768796402,15.470536011328933,6.3899456537277315,20.746264810377866,5.453057024877792,20.34818190240756,14.816465740934614,15.337800121746941,23.792951725134035,14.816465740934614,15.337800121746941,7.629113558084569,14.105901933382793,5.476548213432315,5.4110709260582395,16.36244758928544,15.902102140656348,12.205677966307123,16.406871929260546,14.816465740934614,16.46422283605522,10.59360740611746,15.337800121746941,11.201464865128422,14.41499382416929
