,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33
points1,4.350269423108174,24.668790192542982,4.899545692671239,5.865571637262915,4.477370105453537,10.985472390967752,18.386109563245316,17.149793380179737,18.623946765240788,18.55023619810494,23.03310332340861,12.540326916923426,11.493259341859202,17.75965142995561,11.493259341859202,17.75965142995561,11.493259341859202,17.75965142995561,11.493259341859202,4.885985064500082,8.998561571518943,17.75965142995561,17.53315989879573,22.623696431690618,11.493259341859202,12.642983888332836,17.75965142995561,4.367961015312448,17.38094966706561,17.142883938920047,5.243735752589912,4.6191942566367326,11.493259341859202
points2,11.761979129034012,17.83372074323663,12.501776721975412,12.447319395894437,12.058179618354663,14.729292318544614,14.11380556059885,12.54995088393818,16.46281457475479,11.254794832649655,15.211097999480467,22.88342925188996,16.55878930543638,13.42489959509616,16.55878930543638,13.42489959509616,16.55878930543638,13.42489959509616,16.55878930543638,11.507811588445856,15.315715236846275,13.42489959509616,12.936379926792972,16.969214816382674,16.55878930543638,20.066922389357522,13.42489959509616,11.513311274568705,10.565843489822065,8.561172897144235,12.2322113915011,11.285838065216772,16.55878930543638
points3,8.55031634449172,18.57779505999131,6.541388168549354,5.2406427406827065,6.258248075591056,9.352778090547277,13.088522820090468,11.66051429812169,16.979554691956366,8.347292215892411,23.789738100095743,19.410246010911713,10.439858368369693,12.384630401257104,10.439858368369693,12.384630401257104,10.439858368369693,12.384630401257104,10.439858368369693,5.309733092850111,15.487718391032638,12.384630401257104,7.3026673325420255,20.107761840479256,10.439858368369693,20.668471543617994,12.384630401257104,6.944650395548027,8.186214147845996,11.682528356288215,5.030604491150741,7.181810373520089,10.439858368369693
points4,7.822028556924051,22.600200252513922,6.723095781318871,3.3738131214235394,3.4889662321487815,10.962374011333965,17.563849335821498,14.32108992673426,18.80670787071271,15.391413418348737,23.342095286853347,16.812919870264984,10.357199302102755,16.92537230858469,10.357199302102755,16.92537230858469,10.357199302102755,16.92537230858469,10.357199302102755,2.7922239567511844,12.955993118825434,16.92537230858469,13.83566270756985,20.49940531241602,10.357199302102755,17.57069708568065,16.92537230858469,7.710437982027493,14.8457637749246,14.218827070078062,6.78887536774703,5.3381538471481225,10.357199302102755
points5,14.223671448453317,18.08167566171813,15.325765336015568,12.191353818098413,11.350888629826432,9.48576125081733,12.65186973546286,21.039801877822274,25.031109942467623,12.977074237267132,17.559164306189718,20.45097027787212,19.045240067244656,11.941594802991139,19.045240067244656,11.941594802991142,19.04524006724465,11.941594802991142,19.04524006724465,10.883653644132284,9.740500034766201,11.941594802991142,12.389409600942226,22.031630984849176,19.04524006724465,20.627280297447715,11.941594802991142,14.659144947617307,13.01175244034781,11.289898963077999,15.066140937652683,10.892986061843795,19.04524006724465
points6,3.818412310279303,23.525501776449776,2.994822566704439,3.6452028893204234,2.2898349183568873,13.742002156323762,20.842914255129347,18.390314253987487,12.683316910930323,17.662173558240575,21.580275372123186,12.829829882435535,6.847559001102335,20.2523669856461,6.847559001102335,20.2523669856461,6.847559001102335,20.2523669856461,6.847559001102335,3.1722742197839797,12.971634002094264,20.2523669856461,16.131454022115435,19.903503166967702,6.847559001102335,12.850853133591487,20.2523669856461,2.360335625374734,17.267852853472313,19.114701858839705,3.3762546008949554,1.9313423387766335,6.847559001102335
points7,7.259062590328178,21.65389075597461,9.394675735254069,11.567360068363373,10.346261517054893,11.336482929429778,13.008058920702558,15.044619072438843,17.962379789439222,11.874413201724707,18.07173539361498,21.165070710079753,17.269056170961946,12.302990369251978,17.269056170961946,12.302990369251978,17.269056170961946,12.302990369251978,17.269056170961946,11.000067261663792,13.027899514586846,12.302990369251978,13.036935732231562,21.04140822617629,17.269056170961946,19.358208084521998,12.302990369251978,7.463251019345288,11.934938329434138,11.109203188135094,8.467644983077605,8.187274254340204,17.269056170961946
points8,3.4684829418293748,24.41305643467935,3.7674359536325706,4.68121986525834,3.1218746323119233,15.040589761987354,20.841872141607727,16.641147763733656,14.071671631113498,17.700867154271776,19.225814310492698,15.535694454536403,8.650623897009792,20.25130963965734,8.650623897009792,20.25130963965734,8.650623897009792,20.25130963965734,8.650623897009792,4.109085534193208,15.268328358656733,20.25130963965734,17.102662641324375,18.471545989347057,8.650623897009792,14.882747985088503,20.25130963965734,2.930451772747254,17.555415393560338,16.643835259458733,4.075998947289554,2.381155418253092,8.650623897009792
points9,14.053681605298182,14.676649612747113,13.595754026997918,12.965447599958715,12.619682696752443,15.045122930608372,13.12504945056254,18.422389558073267,15.3038915394202,8.856303533428246,13.703650619567942,24.5053017967935,16.451664800643854,12.421690937764332,16.451664800643854,12.421690937764332,16.451664800643854,12.421690937764332,16.451664800643854,12.194037340216255,16.06126505396765,12.421690937764332,9.724255503227425,16.258349175259124,16.451664800643854,22.79353327213851,12.421690937764332,11.962881996053456,10.237161958292269,11.16230370914221,12.79020240384353,10.762055267230284,16.451664800643854
points10,6.3899456537277315,20.746264810377866,5.453057024877792,4.870402971171671,4.700281830836125,10.370880460863964,18.082814539296937,20.34818190240756,15.483882568399991,14.105901933382793,23.792951725134035,15.902102140656348,8.46825935257828,17.451923173551204,8.468259352578276,17.451923173551204,8.468259352578276,17.451923173551204,8.468259352578276,4.536726478825747,13.25611381376669,17.451923173551204,12.205677966307123,21.593963060285738,8.468259352578276,16.406871929260546,17.451923173551204,5.476548213432315,14.41499382416929,17.750832953279367,5.4110709260582395,4.667413622634491,8.468259352578276
points11,10.371942887842376,20.85981526868775,11.649464404177317,10.237164229051613,8.636000700602986,10.370356820806654,16.263262310199515,19.583878091018605,21.656824533464693,17.637373921586313,19.095998810292603,15.83769553264198,16.551731994415547,15.605774734952993,16.551731994415547,15.605774734952993,16.551731994415547,15.605774734952993,16.551731994415547,8.900995508157997,9.879156440947577,15.605774734952993,17.396407778014662,22.425797817787767,16.551731994415547,15.06360990247078,15.605774734952993,10.857089002062565,17.043938158482746,14.589314324493335,11.590092134597233,8.00298724192642,16.551731994415547
points12,9.966194990137192,18.461302642212832,9.024391429507334,8.686643730771697,7.886646554113098,20.146641448350817,20.074797880760823,11.434549874884754,12.050017435187321,17.394823301238713,10.490326350249141,16.338850094107283,11.48876794612949,19.473023132512747,11.48876794612949,19.473023132512747,11.48876794612949,19.473023132512747,11.48876794612949,7.700552759090597,20.991560649138364,19.473023132512747,16.876986957525236,11.763560208380325,11.48876794612949,15.622739147268645,19.473023132512747,9.161887658635935,16.07247890057362,13.146797365763668,9.253810300391452,8.52085156470884,11.48876794612949
points13,6.67030385884137,24.16497793117899,5.75604961612471,2.5581663802976236,1.6797274132881124,14.683456263917575,20.271819867287075,15.60299490219577,16.043186916750713,16.934258135639926,19.190944744415866,17.74290325234697,8.71808250837467,19.672924969337398,8.71808250837467,19.672924969337398,8.71808250837467,19.672924969337398,8.71808250837467,1.8038079298499932,16.019700322434236,19.672924969337398,16.716675918723364,17.683326220773253,8.71808250837467,16.52841998480584,19.672924969337398,5.9022121706508255,16.484620813406792,13.951426244726749,6.500633408004377,2.3903770372167834,8.71808250837467
points14,5.1614114366463815,22.44928394814714,7.985296444066676,11.751094173536725,10.768042242475099,7.584769941634555,11.067564850886553,13.555351762868163,20.829700069564414,11.26916785593713,20.56960707057597,19.172755155588206,17.948869756911172,10.334132295374678,17.948869756911172,10.334132295374678,17.948869756911172,10.334132295374678,17.948869756911172,11.349864409972168,7.807833145527988,10.334132295374678,11.445693354331958,23.966201209618728,17.948869756911172,18.656632679567977,10.334132295374678,6.009081928673392,10.115117948555818,10.444577004639202,6.655650640169995,8.612694301402444,17.948869756911172
points15,9.00951199098161,21.313552434747386,10.385165811572934,8.920253128125896,8.868540567706827,7.535826270649718,11.984961787750166,14.018074874751356,23.331223707145455,10.71996705993658,20.338690763941695,21.426050498261944,16.84360057770689,11.264938729771817,16.84360057770689,11.264938729771817,16.84360057770689,11.264938729771817,16.84360057770689,8.861562955915238,11.040945065804024,11.264938729771817,11.133043759813711,22.594864110822034,16.84360057770689,21.45846119677695,11.264938729771817,9.386145709846563,11.351637477700626,10.793527408213887,8.878160798065586,7.859257760249134,16.84360057770689
points16,13.710502297105238,16.529838349427422,14.609015946064673,13.11086880301995,11.977747038189772,10.217828895417156,15.332475756322172,23.28588796567055,22.07455789376463,15.631805531439808,17.212694228038384,16.52114499206984,17.465078729715575,14.66138296887478,17.465078729715575,14.66138296887478,17.465078729715575,14.66138296887478,17.465078729715575,11.851984511115749,10.487675853750751,14.66138296887478,15.133807396874971,21.654658069213312,17.465078729715575,16.317271487879275,14.66138296887478,13.875832420420647,16.390305461987587,16.815878758681286,14.477062543565513,11.13657718175019,17.465078729715575
points17,11.621236788377047,13.515317985655335,11.562088916497439,15.044466624093328,14.803827088180572,15.06539045747056,12.229663920035804,17.006050905321278,14.403586661078416,11.50660236198022,12.90282955850316,18.59784616124653,17.81669368369335,11.5132176481873,17.81669368369335,11.5132176481873,17.81669368369335,11.5132176481873,17.81669368369335,13.776066214585196,14.65250145812393,11.5132176481873,11.707267955012066,16.878451042870598,17.81669368369335,17.07387415191534,11.5132176481873,11.499794828347968,10.8929286405338,12.97188541572577,11.921147571495194,15.398034030917607,17.81669368369335
