,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36
points1,18.386109563245316,8.998561571518943,10.985472390967752,4.350269423108174,24.668790192542982,23.03310332340861,18.55023619810494,18.221266730609702,12.540326916923426,17.53315989879573,6.283963588795045,4.899545692671239,22.579620197343935,4.367961015312448,5.865571637262915,22.687079980314515,4.477370105453537,4.885985064500082,10.828906470161826,19.618433424643808,17.38094966706561,17.142883938920047,6.069105125765778,16.243508416719628,18.09728724718615,4.211219491951819,13.109449962234457,4.6191942566367326,17.149793380179737,5.243735752589912,16.916570368476673,10.883490606570506,5.961303265870402,22.46951466852787,7.981865795868829,14.991281208680322
points2,14.11380556059885,15.315715236846275,14.729292318544614,11.761979129034012,17.83372074323663,15.211097999480467,11.254794832649655,17.210276917212223,22.88342925188996,12.936379926792972,11.83707794761041,12.501776721975412,15.889547259781896,11.513311274568705,12.447319395894437,17.096893911531176,12.058179618354663,11.507811588445856,11.916282477442865,15.725439691903462,10.565843489822065,8.561172897144235,12.780474584815805,6.634605835290153,17.08307914805604,11.40421170602642,23.32083628780693,11.285838065216772,12.54995088393818,12.2322113915011,9.49961588301258,17.624445457737657,11.569284584249193,15.758145209477842,9.614836338945416,20.342358458156514
points3,13.088522820090468,15.487718391032638,9.352778090547277,8.55031634449172,18.57779505999131,23.789738100095743,8.347292215892411,16.593597406319457,19.410246010911713,7.3026673325420255,14.90124535422403,6.541388168549354,15.707390277704128,6.944650395548027,5.2406427406827065,14.012270609711475,6.258248075591056,5.309733092850111,13.64698859789073,21.316182996464597,8.186214147845996,11.682528356288215,12.963211427549682,9.422053434558395,16.464436560141916,5.981439489102951,19.891882894081515,7.181810373520089,11.66051429812169,5.030604491150741,8.056946825259399,13.264277850409611,14.663727173099494,15.575408366743966,12.283032820567172,9.484548367435842
points4,17.563849335821498,12.955993118825434,10.962374011333965,7.822028556924051,22.600200252513922,23.342095286853347,15.391413418348737,15.787372497311216,16.812919870264984,13.83566270756985,10.114290422064753,6.723095781318871,18.38857038289914,7.710437982027493,3.3738131214235394,18.831182493125155,3.4889662321487815,2.7922239567511844,13.087771998619946,19.642452167235675,14.8457637749246,14.218827070078062,10.273496316793995,12.572966050685565,15.655645193897847,3.1245026782106606,17.327632848329863,5.3381538471481225,14.32108992673426,6.78887536774703,14.25106874461232,14.23377529390108,9.829475238623345,18.26512347749965,11.28044426896677,14.046274410080713
points5,12.65186973546286,9.740500034766201,9.48576125081733,14.223671448453317,18.08167566171813,17.559164306189718,12.977074237267132,18.73942834667591,20.45097027787212,12.389409600942226,4.3632206152901825,15.325765336015568,21.793883028791196,14.659144947617307,12.191353818098413,24.620645529015185,11.350888629826432,10.883653644132284,8.324452611267514,21.177901075991354,13.01175244034781,11.289898963077999,6.8573435328924734,9.151991171336288,18.61709832807789,11.041608618078362,20.919353879494064,10.892986061843795,21.039801877822274,15.066140937652683,11.437025525195267,10.670516740055742,4.02158259440192,21.681276261401173,15.11308373275762,15.10175614187055
points6,20.842914255129347,12.971634002094264,13.742002156323762,3.818412310279303,23.525501776449776,21.580275372123186,17.662173558240575,14.664796227390639,12.829829882435535,16.131454022115435,11.976697365370915,2.994822566704439,18.37200617448819,2.360335625374734,3.6452028893204234,16.956342416700632,2.2898349183568873,3.1722742197839797,15.549698356138721,16.75206877350292,17.267852853472313,19.114701858839705,10.290113254080037,17.370438947095412,14.529495424872348,2.448292553069846,13.395266202614193,1.9313423387766335,18.390314253987487,3.3762546008949554,17.56982663466197,10.083387984167318,11.710283496911762,18.248506540213608,6.751955811687314,15.279567324053888
points7,13.008058920702558,13.027899514586846,11.336482929429778,7.259062590328178,21.65389075597461,18.07173539361498,11.874413201724707,18.07831042952103,21.165070710079753,13.036935732231562,8.567880315612847,9.394675735254069,18.312419151219995,7.463251019345288,11.567360068363373,20.387916187973353,10.346261517054893,11.000067261663792,10.214612585227254,19.25343674937825,11.934938329434138,11.109203188135094,10.349889960829017,8.638509205252591,17.95387587304126,10.332757131521975,21.62436047735772,8.187274254340204,15.044619072438843,8.467644983077605,10.029351597477032,13.154089424223832,8.267785990540851,18.188729833464627,7.730323617085996,18.41339331052726
points8,20.841872141607727,15.268328358656733,15.040589761987354,3.4684829418293748,24.41305643467935,19.225814310492698,17.700867154271776,12.683449510594281,15.535694454536403,17.102662641324375,11.29521224087246,3.7674359536325706,15.939731518099276,2.930451772747254,4.68121986525834,17.64237702771251,3.1218746323119233,4.109085534193208,16.776871911213856,15.401738493719755,17.555415393560338,16.643835259458733,12.730130574856611,14.643187449206797,12.54184148342788,3.246523090547104,16.06667247856217,2.381155418253092,16.641147763733656,4.075998947289554,17.84879064456338,13.562143278851257,11.022065030660748,15.808489219437037,5.5492195470597885,18.310708623535923
points9,13.12504945056254,16.06126505396765,15.045122930608372,14.053681605298182,14.676649612747113,13.703650619567942,8.856303533428246,17.460979786632056,24.5053017967935,9.724255503227425,14.191906829127909,13.595754026997918,15.099985549022149,11.962881996053456,12.965447599958715,14.726344566202004,12.619682696752443,12.194037340216255,11.989167537460805,15.397024699420761,10.237161958292269,11.16230370914221,13.572549708821747,6.910979777503768,17.334580080381244,12.285617564096857,24.922054818813848,10.762055267230284,18.422389558073267,12.79020240384353,7.88162400109855,11.14054948490683,13.947380103669783,14.966070085471902,10.83807665916328,18.382893628860625
points10,18.082814539296937,13.25611381376669,10.370880460863964,6.3899456537277315,20.746264810377866,23.792951725134035,14.105901933382793,15.470536011328933,15.902102140656348,12.205677966307123,12.78715834287832,5.453057024877792,18.07073272283886,5.476548213432315,4.870402971171671,16.140470930358525,4.700281830836125,4.536726478825747,14.816465740934614,20.257513983637306,14.41499382416929,17.750832953279367,10.592345750062181,14.97242196268477,15.337800121746941,4.453644556285397,16.42841408320443,4.667413622634491,20.34818190240756,5.4110709260582395,14.434917957609427,7.629113558084569,12.528752148457077,17.94627404423147,10.59360740611746,11.201464865128422
