,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39
points1,4.350269423108174,18.386109563245316,24.668790192542982,18.55023619810494,12.540326916923426,4.899545692671239,10.985472390967752,5.865571637262915,23.03310332340861,17.149793380179737,10.883490606570506,19.618433424643808,8.998561571518943,22.623696431690618,4.477370105453537,8.396036135772146,4.885985064500082,18.221266730609702,22.623696431690618,4.211219491951819,17.53315989879573,4.367961015312448,5.763657102635121,5.005037779422586,5.243735752589912,10.828906470161826,17.38094966706561,18.09728724718615,4.6191942566367326,16.916570368476673,10.828906470161826,18.09728724718615,17.142883938920047,7.981865795868829,23.303078000439026,19.78409122805807,16.243508416719628,23.749128025759184,23.486740509120445
points2,11.761979129034012,14.11380556059885,17.83372074323663,11.254794832649655,22.88342925188996,12.501776721975412,14.729292318544614,12.447319395894437,15.211097999480467,12.54995088393818,17.624445457737657,15.725439691903462,15.315715236846275,16.969214816382674,12.058179618354663,14.787402296074296,11.507811588445856,17.210276917212223,16.969214816382674,11.40421170602642,12.936379926792972,11.513311274568705,11.860108047350902,11.382531920205583,12.2322113915011,11.916282477442865,10.565843489822065,17.08307914805604,11.285838065216772,9.49961588301258,11.916282477442865,17.08307914805604,8.561172897144235,9.614836338945416,17.26149333226174,18.14845392206963,6.634605835290153,16.544009991245282,15.065072092334345
points3,8.55031634449172,13.088522820090468,18.57779505999131,8.347292215892411,19.410246010911713,6.541388168549354,9.352778090547277,5.2406427406827065,23.789738100095743,11.66051429812169,13.264277850409611,21.316182996464597,15.487718391032638,20.107761840479256,6.258248075591056,14.961426104481209,5.309733092850111,16.593597406319457,20.107761840479256,5.981439489102951,7.3026673325420255,6.944650395548027,5.538826306439584,5.513428857626791,5.030604491150741,13.64698859789073,8.186214147845996,16.464436560141916,7.181810373520089,8.056946825259399,13.64698859789073,16.464436560141916,11.682528356288215,12.283032820567172,20.864608402858245,15.475900076226647,9.422053434558395,21.150885749416496,19.796208783169142
points4,7.822028556924051,17.563849335821498,22.600200252513922,15.391413418348737,16.812919870264984,6.723095781318871,10.962374011333965,3.3738131214235394,23.342095286853347,14.32108992673426,14.23377529390108,19.642452167235675,12.955993118825434,20.49940531241602,3.4889662321487815,12.399958695388442,2.7922239567511844,15.787372497311216,20.49940531241602,3.1245026782106606,13.83566270756985,7.710437982027493,3.8233373978576215,3.082950111704769,6.78887536774703,13.087771998619946,14.8457637749246,15.655645193897847,5.3381538471481225,14.25106874461232,13.087771998619946,15.655645193897847,14.218827070078062,11.28044426896677,20.61790849483304,16.480125929844892,12.572966050685565,20.378692679832195,23.88606500026579
points5,14.223671448453317,12.65186973546286,18.08167566171813,12.977074237267132,20.45097027787212,15.325765336015568,9.48576125081733,12.191353818098413,17.559164306189718,21.039801877822274,10.670516740055742,21.177901075991354,9.740500034766201,22.031630984849176,11.350888629826432,9.146690724570947,10.883653644132284,18.73942834667591,22.031630984849176,11.041608618078362,12.389409600942226,14.659144947617307,12.371249337423098,11.509270152708613,15.066140937652683,8.324452611267514,13.01175244034781,18.61709832807789,10.892986061843795,11.437025525195267,8.324452611267514,18.61709832807789,11.289898963077999,15.11308373275762,13.40610982006671,12.641227479436148,9.151991171336288,13.371862775382573,16.978052581175557
points6,3.818412310279303,20.842914255129347,23.525501776449776,17.662173558240575,12.829829882435535,2.994822566704439,13.742002156323762,3.6452028893204234,21.580275372123186,18.390314253987487,10.083387984167318,16.75206877350292,12.971634002094264,19.903503166967702,2.2898349183568873,12.415783324222524,3.1722742197839797,14.664796227390639,19.903503166967702,2.448292553069846,16.131454022115435,2.360335625374734,2.9614339850920666,3.05936910836292,3.3762546008949554,15.549698356138721,17.267852853472313,14.529495424872348,1.9313423387766335,17.56982663466197,15.549698356138721,14.529495424872348,19.114701858839705,6.751955811687314,25.010137194694646,21.016009747142206,17.370438947095412,25.773546336792954,25.052408522515165
points7,7.259062590328178,13.008058920702558,21.65389075597461,11.874413201724707,21.165070710079753,9.394675735254069,11.336482929429778,11.567360068363373,18.07173539361498,15.044619072438843,13.154089424223832,19.25343674937825,13.027899514586846,21.04140822617629,10.346261517054893,12.472709831252251,11.000067261663792,18.07831042952103,21.04140822617629,10.332757131521975,13.036935732231562,7.463251019345288,11.146037782086482,10.460624767145298,8.467644983077605,10.214612585227254,11.934938329434138,17.95387587304126,8.187274254340204,10.029351597477032,10.214612585227254,17.95387587304126,11.109203188135094,7.730323617085996,20.79592493899506,20.036044194014,8.638509205252591,20.62794725491913,17.40235576405657
points8,3.4684829418293748,20.841872141607727,24.41305643467935,17.700867154271776,15.535694454536403,3.7674359536325706,15.040589761987354,4.68121986525834,19.225814310492698,16.641147763733656,13.562143278851257,15.401738493719755,15.268328358656733,18.471545989347057,3.1218746323119233,14.73945872753878,4.109085534193208,12.683449510594281,18.471545989347057,3.246523090547104,17.102662641324375,2.930451772747254,3.8533379663564964,3.8659617248013376,4.075998947289554,16.776871911213856,17.555415393560338,12.54184148342788,2.381155418253092,17.84879064456338,16.776871911213856,12.54184148342788,16.643835259458733,5.5492195470597885,24.632746688610883,22.220710169957922,14.643187449206797,25.198661413568928,24.541426667083723
points9,14.053681605298182,13.12504945056254,14.676649612747113,8.856303533428246,24.5053017967935,13.595754026997918,15.045122930608372,12.965447599958715,13.703650619567942,18.422389558073267,11.14054948490683,15.397024699420761,16.06126505396765,16.258349175259124,12.619682696752443,15.541710664117153,12.194037340216255,17.460979786632056,16.258349175259124,12.285617564096857,9.724255503227425,11.962881996053456,12.423127033700393,12.163914291460012,12.79020240384353,11.989167537460805,10.237161958292269,17.334580080381244,10.762055267230284,7.88162400109855,11.989167537460805,17.334580080381244,11.16230370914221,10.83807665916328,15.995481875555239,16.92321595900875,6.910979777503768,16.090678804441243,14.566216436393942
points10,6.3899456537277315,18.082814539296937,20.746264810377866,14.105901933382793,15.902102140656348,5.453057024877792,10.370880460863964,4.870402971171671,23.792951725134035,20.34818190240756,7.629113558084569,20.257513983637306,13.25611381376669,21.593963060285738,4.700281830836125,12.70360514049269,4.536726478825747,15.470536011328933,21.593963060285738,4.453644556285397,12.205677966307123,5.476548213432315,4.595429409512877,4.602584083546245,5.4110709260582395,14.816465740934614,14.41499382416929,15.337800121746941,4.667413622634491,14.434917957609427,14.816465740934614,15.337800121746941,17.750832953279367,10.59360740611746,22.530472143910725,17.168084448611452,14.97242196268477,22.63126797353047,22.886015286782982
