,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45
points1,10.985472390967752,18.386109563245316,17.149793380179737,23.03310332340861,4.350269423108174,19.618433424643808,17.031005036108294,8.998561571518943,22.623696431690618,18.55023619810494,8.396036135772146,22.623696431690618,10.883490606570506,17.53315989879573,24.668790192542982,12.540326916923426,12.04788997719364,4.899545692671239,16.180614854613438,15.102332388972341,17.38094966706561,8.396036135772146,5.865571637262915,22.623696431690618,17.142883938920047,4.367961015312448,4.477370105453537,4.6191942566367326,5.243735752589912,16.916570368476673,14.378200836224726,16.243508416719628,16.162781500154622,16.221045215365255,13.109449962234457,4.885985064500082,16.243508416719628,13.109449962234457,7.981865795868829,8.396036135772146,22.623696431690618,8.396036135772146,18.221266730609702,22.623696431690618,14.378200836224726
points2,14.729292318544614,14.11380556059885,12.54995088393818,15.211097999480467,11.761979129034012,15.725439691903462,16.705238195739955,15.315715236846275,16.969214816382674,11.254794832649655,14.787402296074296,16.969214816382674,17.624445457737657,12.936379926792972,17.83372074323663,22.88342925188996,17.663570790288283,12.501776721975412,16.038968978748137,11.468853199345217,10.565843489822065,14.787402296074296,12.447319395894437,16.969214816382674,8.561172897144235,11.513311274568705,12.058179618354663,11.285838065216772,12.2322113915011,9.49961588301258,21.38112074682135,6.634605835290153,8.610647756977789,9.694027348657938,23.32083628780693,11.507811588445856,6.634605835290153,23.32083628780693,9.614836338945416,14.787402296074296,16.969214816382674,14.787402296074296,17.210276917212223,16.969214816382674,21.38112074682135
points3,9.352778090547277,13.088522820090468,11.66051429812169,23.789738100095743,8.55031634449172,21.316182996464597,18.520780592121802,15.487718391032638,20.107761840479256,8.347292215892411,14.961426104481209,20.107761840479256,13.264277850409611,7.3026673325420255,18.57779505999131,19.410246010911713,16.619305950010883,6.541388168549354,22.89315273467687,8.009157924585109,8.186214147845996,14.961426104481209,5.2406427406827065,20.107761840479256,11.682528356288215,6.944650395548027,6.258248075591056,7.181810373520089,5.030604491150741,8.056946825259399,15.652069678860776,9.422053434558395,7.141685032095544,6.164543387258244,19.891882894081515,5.309733092850111,9.422053434558395,19.891882894081515,12.283032820567172,14.961426104481209,20.107761840479256,14.961426104481209,16.593597406319457,20.107761840479256,15.652069678860776
points4,10.962374011333965,17.563849335821498,14.32108992673426,23.342095286853347,7.822028556924051,19.642452167235675,16.734815620617077,12.955993118825434,20.49940531241602,15.391413418348737,12.399958695388442,20.49940531241602,14.23377529390108,13.83566270756985,22.600200252513922,16.812919870264984,14.717474505065738,6.723095781318871,19.003322399380163,14.75092361607467,14.8457637749246,12.399958695388442,3.3738131214235394,20.49940531241602,14.218827070078062,7.710437982027493,3.4889662321487815,5.3381538471481225,6.78887536774703,14.25106874461232,15.693240507068655,12.572966050685565,13.448699218062922,13.552867069272105,17.327632848329863,2.7922239567511844,12.572966050685565,17.327632848329863,11.28044426896677,12.399958695388442,20.49940531241602,12.399958695388442,15.787372497311216,20.49940531241602,15.693240507068655
points5,9.48576125081733,12.65186973546286,21.039801877822274,17.559164306189718,14.223671448453317,21.177901075991354,19.805641092196375,9.740500034766201,22.031630984849176,12.977074237267132,9.146690724570947,22.031630984849176,10.670516740055742,12.389409600942226,18.08167566171813,20.45097027787212,7.288701024624481,15.325765336015568,18.11610864983386,23.66504170285041,13.01175244034781,9.146690724570947,12.191353818098413,22.031630984849176,11.289898963077999,14.659144947617307,11.350888629826432,10.892986061843795,15.066140937652683,11.437025525195267,22.78498041516895,9.151991171336288,10.583368064451605,11.420493322972346,20.919353879494064,10.883653644132284,9.151991171336283,20.919353879494064,15.11308373275762,9.146690724570947,22.031630984849176,9.146690724570947,18.73942834667591,22.031630984849176,22.78498041516895
points6,13.742002156323762,20.842914255129347,18.390314253987487,21.580275372123186,3.818412310279303,16.75206877350292,13.544590309929786,12.971634002094264,19.903503166967702,17.662173558240575,12.415783324222524,19.903503166967702,10.083387984167318,16.131454022115435,23.525501776449776,12.829829882435535,10.805476763450418,2.994822566704439,16.981620422294167,15.225404628998122,17.267852853472313,12.415783324222524,3.6452028893204234,19.903503166967702,19.114701858839705,2.360335625374734,2.2898349183568873,1.9313423387766335,3.3762546008949554,17.56982663466197,8.90846812902908,17.370438947095412,16.827943825266416,15.280020096642412,13.395266202614193,3.1722742197839797,17.370438947095412,13.395266202614193,6.751955811687314,12.415783324222524,19.903503166967702,12.415783324222524,14.664796227390639,19.903503166967702,8.90846812902908
points7,11.336482929429778,13.008058920702558,15.044619072438843,18.07173539361498,7.259062590328178,19.25343674937825,20.39005848941094,13.027899514586846,21.04140822617629,11.874413201724707,12.472709831252251,21.04140822617629,13.154089424223832,13.036935732231562,21.65389075597461,21.165070710079753,14.994541442261228,9.394675735254069,18.402043668531437,10.892832952085202,11.934938329434138,12.472709831252251,11.567360068363373,21.04140822617629,11.109203188135094,7.463251019345288,10.346261517054893,8.187274254340204,8.467644983077605,10.029351597477032,22.080808258357447,8.638509205252591,9.150038280677704,10.072880763985555,21.62436047735772,11.000067261663792,8.638509205252593,21.62436047735772,7.730323617085996,12.472709831252251,21.04140822617629,12.472709831252251,18.07831042952103,21.04140822617629,22.080808258357447
points8,15.040589761987354,20.841872141607727,16.641147763733656,19.225814310492698,3.4684829418293748,15.401738493719755,13.242496171670298,15.268328358656733,18.471545989347057,17.700867154271776,14.73945872753878,18.471545989347057,13.562143278851257,17.102662641324375,24.41305643467935,15.535694454536403,12.893456053035356,3.7674359536325706,15.608966570530669,14.962317698795093,17.555415393560338,14.73945872753878,4.68121986525834,18.471545989347057,16.643835259458733,2.930451772747254,3.1218746323119233,2.381155418253092,4.075998947289554,17.84879064456338,11.68076299357014,14.643187449206797,17.11199215216896,15.981315161210732,16.06667247856217,4.109085534193208,14.643187449206797,16.06667247856217,5.5492195470597885,14.73945872753878,18.471545989347057,14.73945872753878,12.683449510594281,18.471545989347057,11.68076299357014
points9,15.045122930608372,13.12504945056254,18.422389558073267,13.703650619567942,14.053681605298182,15.397024699420761,16.676912796307327,16.06126505396765,16.258349175259124,8.856303533428246,15.541710664117153,16.258349175259124,11.14054948490683,9.724255503227425,14.676649612747113,24.5053017967935,13.266024853096695,13.595754026997918,18.41102888894334,13.975419648644904,10.237161958292269,15.541710664117153,12.965447599958715,16.258349175259124,11.16230370914221,11.962881996053456,12.619682696752443,10.762055267230284,12.79020240384353,7.88162400109855,20.93292289613578,6.910979777503768,6.963166825075516,7.8617406096326174,24.922054818813848,12.194037340216255,6.910979777503768,24.922054818813848,10.83807665916328,15.541710664117153,16.258349175259124,15.541710664117153,17.460979786632056,16.258349175259124,20.93292289613578
points10,10.370880460863964,18.082814539296937,20.34818190240756,23.792951725134035,6.3899456537277315,20.257513983637306,16.46422283605522,13.25611381376669,21.593963060285738,14.105901933382793,12.70360514049269,21.593963060285738,7.629113558084569,12.205677966307123,20.746264810377866,15.902102140656348,8.58331340604989,5.453057024877792,21.107733254334168,16.802971247356396,14.41499382416929,12.70360514049269,4.870402971171671,21.593963060285738,17.750832953279367,5.476548213432315,4.700281830836125,4.667413622634491,5.4110709260582395,14.434917957609427,10.756489888835493,14.97242196268477,13.635899213405096,12.267942008194193,16.42841408320443,4.536726478825747,14.97242196268477,16.42841408320443,10.59360740611746,12.70360514049269,21.593963060285738,12.70360514049269,15.470536011328933,21.593963060285738,10.756489888835493
