,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48
points1,4.350269423108174,24.668790192542982,17.149793380179737,10.985472390967752,18.386109563245316,4.899545692671239,18.55023619810494,8.998561571518943,6.283963588795045,12.04788997719364,4.367961015312448,23.338788975890054,23.03310332340861,18.221266730609702,17.53315989879573,12.540326916923426,19.618433424643808,5.865571637262915,17.38094966706561,16.916570368476673,17.142883938920047,16.221045215365255,13.50628392982747,16.243508416719628,13.109449962234457,4.6191942566367326,19.937985929030567,13.50628392982747,19.937985929030567,16.243508416719628,13.109449962234457,5.243735752589912,22.999090840255768,13.50628392982747,19.937985929030567,16.243508416719628,7.981865795868829,4.477370105453537,4.885985064500082,13.50628392982747,19.937985929030567,12.463237216788162,4.211219491951819,13.109449962234457,5.763657102635121,14.991281208680322,5.005037779422586,14.65376597951449
points2,11.761979129034012,17.83372074323663,12.54995088393818,14.729292318544614,14.11380556059885,12.501776721975412,11.254794832649655,15.315715236846275,11.83707794761041,17.663570790288283,11.513311274568705,17.62668395999582,15.211097999480467,17.210276917212223,12.936379926792972,22.88342925188996,15.725439691903462,12.447319395894437,10.565843489822065,9.49961588301258,8.561172897144235,9.694027348657938,14.329548308655866,6.634605835290153,23.32083628780693,11.285838065216772,15.650152819754611,14.329548308655866,15.650152819754611,6.634605835290153,23.32083628780693,12.2322113915011,17.332024063859716,14.329548308655866,15.650152819754611,6.634605835290153,9.614836338945416,12.058179618354663,11.507811588445856,14.329548308655866,15.650152819754611,21.071824112095896,11.40421170602642,23.32083628780693,11.860108047350902,20.342358458156514,11.382531920205583,9.952136054020189
points3,8.55031634449172,18.57779505999131,11.66051429812169,9.352778090547277,13.088522820090468,6.541388168549354,8.347292215892411,15.487718391032638,14.90124535422403,16.619305950010883,6.944650395548027,13.457293298894516,23.789738100095743,16.593597406319457,7.3026673325420255,19.410246010911713,21.316182996464597,5.2406427406827065,8.186214147845996,8.056946825259399,11.682528356288215,6.164543387258244,15.363989733285067,9.422053434558395,19.891882894081515,7.181810373520089,14.821047117900376,15.363989733285067,14.821047117900376,9.422053434558395,19.891882894081515,5.030604491150741,14.204978556545495,15.363989733285067,14.821047117900376,9.422053434558395,12.283032820567172,6.258248075591056,5.309733092850111,15.363989733285067,14.821047117900376,16.62743333908948,5.981439489102951,19.891882894081515,5.538826306439584,9.484548367435842,5.513428857626791,7.726759059652487
points4,7.822028556924051,22.600200252513922,14.32108992673426,10.962374011333965,17.563849335821498,6.723095781318871,15.391413418348737,12.955993118825434,10.114290422064753,14.717474505065738,7.710437982027493,19.700224126391248,23.342095286853347,15.787372497311216,13.83566270756985,16.812919870264984,19.642452167235675,3.3738131214235394,14.8457637749246,14.25106874461232,14.218827070078062,13.552867069272105,15.093234483651118,12.572966050685565,17.327632848329863,5.3381538471481225,17.301154704066423,15.093234483651118,17.301154704066423,12.572966050685565,17.327632848329863,6.78887536774703,19.09016396841809,15.093234483651118,17.301154704066423,12.572966050685565,11.28044426896677,3.4889662321487815,2.7922239567511844,15.093234483651118,17.301154704066423,14.897668196483878,3.1245026782106606,17.327632848329863,3.8233373978576215,14.046274410080713,3.082950111704769,13.946195256682042
points5,14.223671448453317,18.08167566171813,21.039801877822274,9.48576125081733,12.65186973546286,15.325765336015568,12.977074237267132,9.740500034766201,4.3632206152901825,7.288701024624481,14.659144947617307,25.954133077406468,17.559164306189718,18.73942834667591,12.389409600942226,20.45097027787212,21.177901075991354,12.191353818098413,13.01175244034781,11.437025525195267,11.289898963077999,11.420493322972346,8.684430234816771,9.151991171336288,20.919353879494064,10.892986061843795,23.564133399337464,8.684430234816771,23.564133399337464,9.151991171336283,20.919353879494064,15.066140937652683,24.959248328074487,8.684430234816771,23.564133399337464,9.151991171336283,15.11308373275762,11.350888629826432,10.883653644132284,8.684430234816771,23.564133399337464,18.44919744816925,11.041608618078362,20.919353879494064,12.371249337423098,15.10175614187055,11.509270152708613,10.431006655703456
points6,3.818412310279303,23.525501776449776,18.390314253987487,13.742002156323762,20.842914255129347,2.994822566704439,17.662173558240575,12.971634002094264,11.976697365370915,10.805476763450418,2.360335625374734,18.009594334948883,21.580275372123186,14.664796227390639,16.131454022115435,12.829829882435535,16.75206877350292,3.6452028893204234,17.267852853472313,17.56982663466197,19.114701858839705,15.280020096642412,16.32940944488603,17.370438947095412,13.395266202614193,1.9313423387766335,21.09436171359427,16.32940944488603,21.09436171359427,17.370438947095412,13.395266202614193,3.3762546008949554,17.189539592515402,16.32940944488603,21.09436171359427,17.370438947095412,6.751955811687314,2.2898349183568873,3.1722742197839797,16.32940944488603,21.09436171359427,10.882954453552705,2.448292553069846,13.395266202614193,2.9614339850920666,15.279567324053888,3.05936910836292,16.159586871482727
points7,7.259062590328178,21.65389075597461,15.044619072438843,11.336482929429778,13.008058920702558,9.394675735254069,11.874413201724707,13.027899514586846,8.567880315612847,14.994541442261228,7.463251019345288,20.122628539909893,18.07173539361498,18.07831042952103,13.036935732231562,21.165070710079753,19.25343674937825,11.567360068363373,11.934938329434138,10.029351597477032,11.109203188135094,10.072880763985555,11.290015353614809,8.638509205252591,21.62436047735772,8.187274254340204,17.97560654214852,11.290015353614809,17.97560654214852,8.638509205252593,21.62436047735772,8.467644983077605,20.668307109490765,11.290015353614809,17.97560654214852,8.638509205252593,7.730323617085996,10.346261517054893,11.000067261663792,11.290015353614809,17.97560654214852,18.285878028392172,10.332757131521975,21.62436047735772,11.146037782086482,18.41339331052726,10.460624767145298,9.587069311599997
points8,3.4684829418293748,24.41305643467935,16.641147763733656,15.040589761987354,20.841872141607727,3.7674359536325706,17.700867154271776,15.268328358656733,11.29521224087246,12.893456053035356,2.930451772747254,18.92297755766877,19.225814310492698,12.683449510594281,17.102662641324375,15.535694454536403,15.401738493719755,4.68121986525834,17.555415393560338,17.84879064456338,16.643835259458733,15.981315161210732,16.438661138240978,14.643187449206797,16.06667247856217,2.381155418253092,19.463841973695654,16.438661138240978,19.463841973695654,14.643187449206797,16.06667247856217,4.075998947289554,17.885009099913987,16.438661138240978,19.463841973695654,14.643187449206797,5.5492195470597885,3.1218746323119233,4.109085534193208,16.438661138240978,19.463841973695654,13.923623576338956,3.246523090547104,16.06667247856217,3.8533379663564964,18.310708623535923,3.8659617248013376,16.920716105789456
points9,14.053681605298182,14.676649612747113,18.422389558073267,15.045122930608372,13.12504945056254,13.595754026997918,8.856303533428246,16.06126505396765,14.191906829127909,13.266024853096695,11.962881996053456,15.466056229692324,13.703650619567942,17.460979786632056,9.724255503227425,24.5053017967935,15.397024699420761,12.965447599958715,10.237161958292269,7.88162400109855,11.16230370914221,7.8617406096326174,11.392734890406429,6.910979777503768,24.922054818813848,10.762055267230284,21.124261335366427,11.392734890406429,21.124261335366427,6.910979777503768,24.922054818813848,12.79020240384353,14.928873028916412,11.392734890406429,21.124261335366427,6.910979777503768,10.83807665916328,12.619682696752443,12.194037340216255,11.392734890406429,21.124261335366427,18.727159937335344,12.285617564096857,24.922054818813848,12.423127033700393,18.382893628860625,12.163914291460012,8.555848162570122
points10,6.3899456537277315,20.746264810377866,20.34818190240756,10.370880460863964,18.082814539296937,5.453057024877792,14.105901933382793,13.25611381376669,12.78715834287832,8.58331340604989,5.476548213432315,17.23835374948557,23.792951725134035,15.470536011328933,12.205677966307123,15.902102140656348,20.257513983637306,4.870402971171671,14.41499382416929,14.434917957609427,17.750832953279367,12.267942008194193,14.076041391631442,14.97242196268477,16.42841408320443,4.667413622634491,22.919426318161765,14.076041391631442,22.919426318161765,14.97242196268477,16.42841408320443,5.4110709260582395,16.36244758928544,14.076041391631442,22.919426318161765,14.97242196268477,10.59360740611746,4.700281830836125,4.536726478825747,14.076041391631442,22.919426318161765,12.237023633610384,4.453644556285397,16.42841408320443,4.595429409512877,11.201464865128422,4.602584083546245,13.094256052117935
points11,10.371942887842376,20.85981526868775,19.583878091018605,10.370356820806654,16.263262310199515,11.649464404177317,17.637373921586313,9.879156440947577,4.816469027657346,8.508262803711935,10.857089002062565,25.66812894874269,19.095998810292603,17.903954216793093,17.396407778014662,15.83769553264198,20.25805848831455,10.237164229051613,17.043938158482746,16.002649826563317,14.589314324493335,15.678384973025377,10.773242776067542,13.635308062766494,16.3648276721785,8.00298724192642,22.206965578321842,10.773242776067542,22.206965578321842,13.635308062766494,16.3648276721785,11.590092134597233,24.49669905334135,10.773242776067542,22.206965578321842,13.635308062766494,10.805242982951663,8.636000700602986,8.900995508157997,10.773242776067542,22.206965578321842,14.921208016161097,8.728888354362239,16.3648276721785,10.493334023891004,17.52787331776323,9.61546000125503,13.855736404395218
