,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51
points1,18.386109563245316,8.998561571518943,10.985472390967752,18.55023619810494,12.540326916923426,4.350269423108174,17.53315989879573,24.668790192542982,23.03310332340861,17.149793380179737,17.38094966706561,6.283963588795045,4.899545692671239,23.338788975890054,16.916570368476673,22.999090840255768,19.618433424643808,5.865571637262915,17.142883938920047,4.477370105453537,4.367961015312448,4.885985064500082,4.211219491951819,5.243735752589912,7.981865795868829,5.763657102635121,16.221045215365255,18.221266730609702,10.828906470161826,5.005037779422586,18.09728724718615,21.375685007334578,16.243508416719628,10.883490606570506,13.109449962234457,14.991281208680322,16.243508416719628,10.828906470161826,4.6191942566367326,18.09728724718615,10.828906470161826,13.109449962234457,17.031005036108294,18.09728724718615,22.61818550945639,23.11542998084745,14.65376597951449,10.46574152336055,16.243508416719628,12.463237216788162,14.688644365073925
points2,14.11380556059885,15.315715236846275,14.729292318544614,11.254794832649655,22.88342925188996,11.761979129034012,12.936379926792972,17.83372074323663,15.211097999480467,12.54995088393818,10.565843489822065,11.83707794761041,12.501776721975412,17.62668395999582,9.49961588301258,17.332024063859716,15.725439691903462,12.447319395894437,8.561172897144235,12.058179618354663,11.513311274568705,11.507811588445856,11.40421170602642,12.2322113915011,9.614836338945416,11.860108047350902,9.694027348657938,17.210276917212223,11.916282477442865,11.382531920205583,17.08307914805604,16.34543140863729,6.634605835290153,17.624445457737657,23.32083628780693,20.342358458156514,6.634605835290153,11.916282477442865,11.285838065216772,17.08307914805604,11.916282477442865,23.32083628780693,16.705238195739955,17.08307914805604,15.96725913517348,15.488240239334313,9.952136054020189,11.48232056329688,6.634605835290153,21.071824112095896,6.220014637987285
points3,13.088522820090468,15.487718391032638,9.352778090547277,8.347292215892411,19.410246010911713,8.55031634449172,7.3026673325420255,18.57779505999131,23.789738100095743,11.66051429812169,8.186214147845996,14.90124535422403,6.541388168549354,13.457293298894516,8.056946825259399,14.204978556545495,21.316182996464597,5.2406427406827065,11.682528356288215,6.258248075591056,6.944650395548027,5.309733092850111,5.981439489102951,5.030604491150741,12.283032820567172,5.538826306439584,6.164543387258244,16.593597406319457,13.64698859789073,5.513428857626791,16.464436560141916,22.086269287772037,9.422053434558395,13.264277850409611,19.891882894081515,9.484548367435842,9.422053434558395,13.64698859789073,7.181810373520089,16.464436560141916,13.64698859789073,19.891882894081515,18.520780592121802,16.464436560141916,22.19257530544213,21.323656402893313,7.726759059652487,12.102409368173197,9.422053434558395,16.62743333908948,10.716420323708771
points4,17.563849335821498,12.955993118825434,10.962374011333965,15.391413418348737,16.812919870264984,7.822028556924051,13.83566270756985,22.600200252513922,23.342095286853347,14.32108992673426,14.8457637749246,10.114290422064753,6.723095781318871,19.700224126391248,14.25106874461232,19.09016396841809,19.642452167235675,3.3738131214235394,14.218827070078062,3.4889662321487815,7.710437982027493,2.7922239567511844,3.1245026782106606,6.78887536774703,11.28044426896677,3.8233373978576215,13.552867069272105,15.787372497311216,13.087771998619946,3.082950111704769,15.655645193897847,23.74694899351512,12.572966050685565,14.23377529390108,17.327632848329863,14.046274410080713,12.572966050685565,13.087771998619946,5.3381538471481225,15.655645193897847,13.087771998619946,17.327632848329863,16.734815620617077,15.655645193897847,24.72114772428003,24.109881018050316,13.946195256682042,12.913091467153079,12.572966050685565,14.897668196483878,11.759224996742795
points5,12.65186973546286,9.740500034766201,9.48576125081733,12.977074237267132,20.45097027787212,14.223671448453317,12.389409600942226,18.08167566171813,17.559164306189718,21.039801877822274,13.01175244034781,4.3632206152901825,15.325765336015568,25.954133077406468,11.437025525195267,24.959248328074487,21.177901075991354,12.191353818098413,11.289898963077999,11.350888629826432,14.659144947617307,10.883653644132284,11.041608618078362,15.066140937652683,15.11308373275762,12.371249337423098,11.420493322972346,18.73942834667591,8.324452611267514,11.509270152708613,18.61709832807789,15.773506653534863,9.151991171336288,10.670516740055742,20.919353879494064,15.10175614187055,9.151991171336283,8.324452611267514,10.892986061843795,18.61709832807789,8.324452611267514,20.919353879494064,19.805641092196375,18.61709832807789,16.59415996359925,16.19985851213045,10.431006655703456,9.944715266506133,9.151991171336283,18.44919744816925,8.152061987092495
points6,20.842914255129347,12.971634002094264,13.742002156323762,17.662173558240575,12.829829882435535,3.818412310279303,16.131454022115435,23.525501776449776,21.580275372123186,18.390314253987487,17.267852853472313,11.976697365370915,2.994822566704439,18.009594334948883,17.56982663466197,17.189539592515402,16.75206877350292,3.6452028893204234,19.114701858839705,2.2898349183568873,2.360335625374734,3.1722742197839797,2.448292553069846,3.3762546008949554,6.751955811687314,2.9614339850920666,15.280020096642412,14.664796227390639,15.549698356138721,3.05936910836292,14.529495424872348,23.923252190150578,17.370438947095412,10.083387984167318,13.395266202614193,15.279567324053888,17.370438947095412,15.549698356138721,1.9313423387766335,14.529495424872348,15.549698356138721,13.395266202614193,13.544590309929786,14.529495424872348,24.339427316954737,25.31634874946025,16.159586871482727,14.041873865955047,17.370438947095412,10.882954453552705,17.743824429936538
points7,13.008058920702558,13.027899514586846,11.336482929429778,11.874413201724707,21.165070710079753,7.259062590328178,13.036935732231562,21.65389075597461,18.07173539361498,15.044619072438843,11.934938329434138,8.567880315612847,9.394675735254069,20.122628539909893,10.029351597477032,20.668307109490765,19.25343674937825,11.567360068363373,11.109203188135094,10.346261517054893,7.463251019345288,11.000067261663792,10.332757131521975,8.467644983077605,7.730323617085996,11.146037782086482,10.072880763985555,18.07831042952103,10.214612585227254,10.460624767145298,17.95387587304126,16.789648856042334,8.638509205252591,13.154089424223832,21.62436047735772,18.41339331052726,8.638509205252593,10.214612585227254,8.187274254340204,17.95387587304126,10.214612585227254,21.62436047735772,20.39005848941094,17.95387587304126,16.47723476231738,17.210632044368257,9.587069311599997,10.609488154026591,8.638509205252593,18.285878028392172,7.205161626210117
points8,20.841872141607727,15.268328358656733,15.040589761987354,17.700867154271776,15.535694454536403,3.4684829418293748,17.102662641324375,24.41305643467935,19.225814310492698,16.641147763733656,17.555415393560338,11.29521224087246,3.7674359536325706,18.92297755766877,17.84879064456338,17.885009099913987,15.401738493719755,4.68121986525834,16.643835259458733,3.1218746323119233,2.930451772747254,4.109085534193208,3.246523090547104,4.075998947289554,5.5492195470597885,3.8533379663564964,15.981315161210732,12.683449510594281,16.776871911213856,3.8659617248013376,12.54184148342788,23.661316740505672,14.643187449206797,13.562143278851257,16.06667247856217,18.310708623535923,14.643187449206797,16.776871911213856,2.381155418253092,12.54184148342788,16.776871911213856,16.06667247856217,13.242496171670298,12.54184148342788,23.398499152165208,24.479218524777856,16.920716105789456,16.034174398017818,14.643187449206797,13.923623576338956,15.36947400938496
points9,13.12504945056254,16.06126505396765,15.045122930608372,8.856303533428246,24.5053017967935,14.053681605298182,9.724255503227425,14.676649612747113,13.703650619567942,18.422389558073267,10.237161958292269,14.191906829127909,13.595754026997918,15.466056229692324,7.88162400109855,14.928873028916412,15.397024699420761,12.965447599958715,11.16230370914221,12.619682696752443,11.962881996053456,12.194037340216255,12.285617564096857,12.79020240384353,10.83807665916328,12.423127033700393,7.8617406096326174,17.460979786632056,11.989167537460805,12.163914291460012,17.334580080381244,15.793402508734768,6.910979777503768,11.14054948490683,24.922054818813848,18.382893628860625,6.910979777503768,11.989167537460805,10.762055267230284,17.334580080381244,11.989167537460805,24.922054818813848,16.676912796307327,17.334580080381244,15.278017740120701,14.923301823180301,8.555848162570122,11.230231690662619,6.910979777503768,18.727159937335344,6.593824085781796
points10,18.082814539296937,13.25611381376669,10.370880460863964,14.105901933382793,15.902102140656348,6.3899456537277315,12.205677966307123,20.746264810377866,23.792951725134035,20.34818190240756,14.41499382416929,12.78715834287832,5.453057024877792,17.23835374948557,14.434917957609427,16.36244758928544,20.257513983637306,4.870402971171671,17.750832953279367,4.700281830836125,5.476548213432315,4.536726478825747,4.453644556285397,5.4110709260582395,10.59360740611746,4.595429409512877,12.267942008194193,15.470536011328933,14.816465740934614,4.602584083546245,15.337800121746941,23.161628131304354,14.97242196268477,7.629113558084569,16.42841408320443,11.201464865128422,14.97242196268477,14.816465740934614,4.667413622634491,15.337800121746941,14.816465740934614,16.42841408320443,16.46422283605522,15.337800121746941,22.968978924310456,22.89115445694625,13.094256052117935,13.231679574044358,14.97242196268477,12.237023633610384,16.393512159109285
