,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54
points1,4.350269423108174,10.985472390967752,24.668790192542982,18.386109563245316,17.149793380179737,4.899545692671239,18.55023619810494,12.540326916923426,23.03310332340861,17.53315989879573,17.38094966706561,17.142883938920047,19.618433424643808,16.916570368476673,16.243508416719628,13.109449962234457,17.031005036108294,16.243508416719628,4.367961015312448,13.109449962234457,4.6191942566367326,16.243508416719628,8.998561571518943,22.623696431690618,13.109449962234457,16.243508416719628,5.243735752589912,8.396036135772146,22.623696431690618,13.109449962234457,10.883490606570506,7.981865795868829,12.04788997719364,23.303078000439026,8.396036135772146,22.623696431690618,19.78409122805807,8.396036135772146,18.221266730609702,20.664820253831614,22.623696431690618,16.243508416719628,23.749128025759184,16.221045215365255,13.109449962234457,22.681788739623503,16.243508416719628,17.49267606543453,15.102332388972341,13.109449962234457,23.818433202634903,14.65376597951449,22.104870458519148,16.243508416719628
points2,11.761979129034012,14.729292318544614,17.83372074323663,14.11380556059885,12.54995088393818,12.501776721975412,11.254794832649655,22.88342925188996,15.211097999480467,12.936379926792972,10.565843489822065,8.561172897144235,15.725439691903462,9.49961588301258,6.634605835290153,23.32083628780693,16.705238195739955,6.634605835290153,11.513311274568705,23.32083628780693,11.285838065216772,6.634605835290153,15.315715236846275,16.969214816382674,23.32083628780693,6.634605835290153,12.2322113915011,14.787402296074296,16.969214816382674,23.32083628780693,17.624445457737657,9.614836338945416,17.663570790288283,17.26149333226174,14.787402296074296,16.969214816382674,18.14845392206963,14.787402296074296,17.210276917212223,11.173380341967702,16.969214816382674,6.634605835290153,16.544009991245282,9.694027348657938,23.32083628780693,15.66035587602594,6.634605835290153,11.932665226487847,11.468853199345217,23.32083628780693,16.062850233244525,9.952136054020189,15.566236483424424,6.634605835290153
points3,8.55031634449172,9.352778090547277,18.57779505999131,13.088522820090468,11.66051429812169,6.541388168549354,8.347292215892411,19.410246010911713,23.789738100095743,7.3026673325420255,8.186214147845996,11.682528356288215,21.316182996464597,8.056946825259399,9.422053434558395,19.891882894081515,18.520780592121802,9.422053434558395,6.944650395548027,19.891882894081515,7.181810373520089,9.422053434558395,15.487718391032638,20.107761840479256,19.891882894081515,9.422053434558395,5.030604491150741,14.961426104481209,20.107761840479256,19.891882894081515,13.264277850409611,12.283032820567172,16.619305950010883,20.864608402858245,14.961426104481209,20.107761840479256,15.475900076226647,14.961426104481209,16.593597406319457,20.326866927649004,20.107761840479256,9.422053434558395,21.150885749416496,6.164543387258244,19.891882894081515,22.895925115086655,9.422053434558395,14.554356110649179,8.009157924585109,19.891882894081515,22.14347153740023,7.726759059652487,19.591460519711003,9.422053434558395
points4,7.822028556924051,10.962374011333965,22.600200252513922,17.563849335821498,14.32108992673426,6.723095781318871,15.391413418348737,16.812919870264984,23.342095286853347,13.83566270756985,14.8457637749246,14.218827070078062,19.642452167235675,14.25106874461232,12.572966050685565,17.327632848329863,16.734815620617077,12.572966050685565,7.710437982027493,17.327632848329863,5.3381538471481225,12.572966050685565,12.955993118825434,20.49940531241602,17.327632848329863,12.572966050685565,6.78887536774703,12.399958695388442,20.49940531241602,17.327632848329863,14.23377529390108,11.28044426896677,14.717474505065738,20.61790849483304,12.399958695388442,20.49940531241602,16.480125929844892,12.399958695388442,15.787372497311216,21.10766723048076,20.49940531241602,12.572966050685565,20.378692679832195,13.552867069272105,17.327632848329863,21.129362340323503,12.572966050685565,13.530322721876175,14.75092361607467,17.327632848329863,21.958098524981686,13.946195256682042,21.3997159999612,12.572966050685565
points5,14.223671448453317,9.48576125081733,18.08167566171813,12.65186973546286,21.039801877822274,15.325765336015568,12.977074237267132,20.45097027787212,17.559164306189718,12.389409600942226,13.01175244034781,11.289898963077999,21.177901075991354,11.437025525195267,9.151991171336288,20.919353879494064,19.805641092196375,9.151991171336283,14.659144947617307,20.919353879494064,10.892986061843795,9.151991171336283,9.740500034766201,22.031630984849176,20.919353879494064,9.151991171336283,15.066140937652683,9.146690724570947,22.031630984849176,20.919353879494064,10.670516740055742,15.11308373275762,7.288701024624481,13.40610982006671,9.146690724570947,22.031630984849176,12.641227479436148,9.146690724570947,18.73942834667591,13.91809795430177,22.031630984849176,9.151991171336283,13.371862775382573,11.420493322972346,20.919353879494064,12.813061691057008,9.151991171336283,13.759174607876785,23.66504170285041,20.919353879494064,13.181896219037624,10.431006655703456,15.951545123002948,9.151991171336283
points6,3.818412310279303,13.742002156323762,23.525501776449776,20.842914255129347,18.390314253987487,2.994822566704439,17.662173558240575,12.829829882435535,21.580275372123186,16.131454022115435,17.267852853472313,19.114701858839705,16.75206877350292,17.56982663466197,17.370438947095412,13.395266202614193,13.544590309929786,17.370438947095412,2.360335625374734,13.395266202614193,1.9313423387766335,17.370438947095412,12.971634002094264,19.903503166967702,13.395266202614193,17.370438947095412,3.3762546008949554,12.415783324222524,19.903503166967702,13.395266202614193,10.083387984167318,6.751955811687314,10.805476763450418,25.010137194694646,12.415783324222524,19.903503166967702,21.016009747142206,12.415783324222524,14.664796227390639,18.322889575472168,19.903503166967702,17.370438947095412,25.773546336792954,15.280020096642412,13.395266202614193,24.558076818478835,17.370438947095412,15.050120573232983,15.225404628998122,13.395266202614193,25.761578337294694,16.159586871482727,24.741111477954515,17.370438947095412
points7,7.259062590328178,11.336482929429778,21.65389075597461,13.008058920702558,15.044619072438843,9.394675735254069,11.874413201724707,21.165070710079753,18.07173539361498,13.036935732231562,11.934938329434138,11.109203188135094,19.25343674937825,10.029351597477032,8.638509205252591,21.62436047735772,20.39005848941094,8.638509205252593,7.463251019345288,21.62436047735772,8.187274254340204,8.638509205252593,13.027899514586846,21.04140822617629,21.62436047735772,8.638509205252593,8.467644983077605,12.472709831252251,21.04140822617629,21.62436047735772,13.154089424223832,7.730323617085996,14.994541442261228,20.79592493899506,12.472709831252251,21.04140822617629,20.036044194014,12.472709831252251,18.07831042952103,11.396528438918708,21.04140822617629,8.638509205252593,20.62794725491913,10.072880763985555,21.62436047735772,19.442675749923136,8.638509205252593,12.745682066288264,10.892832952085202,21.62436047735772,19.232627553073986,9.587069311599997,18.60530309468108,8.638509205252593
points8,3.4684829418293748,15.040589761987354,24.41305643467935,20.841872141607727,16.641147763733656,3.7674359536325706,17.700867154271776,15.535694454536403,19.225814310492698,17.102662641324375,17.555415393560338,16.643835259458733,15.401738493719755,17.84879064456338,14.643187449206797,16.06667247856217,13.242496171670298,14.643187449206797,2.930451772747254,16.06667247856217,2.381155418253092,14.643187449206797,15.268328358656733,18.471545989347057,16.06667247856217,14.643187449206797,4.075998947289554,14.73945872753878,18.471545989347057,16.06667247856217,13.562143278851257,5.5492195470597885,12.893456053035356,24.632746688610883,14.73945872753878,18.471545989347057,22.220710169957922,14.73945872753878,12.683449510594281,16.049512433426166,18.471545989347057,14.643187449206797,25.198661413568928,15.981315161210732,16.06667247856217,23.85503252044404,14.643187449206797,10.377149576329616,14.962317698795093,16.06667247856217,24.9733798199798,16.920716105789456,24.29993550270271,14.643187449206797
points9,14.053681605298182,15.045122930608372,14.676649612747113,13.12504945056254,18.422389558073267,13.595754026997918,8.856303533428246,24.5053017967935,13.703650619567942,9.724255503227425,10.237161958292269,11.16230370914221,15.397024699420761,7.88162400109855,6.910979777503768,24.922054818813848,16.676912796307327,6.910979777503768,11.962881996053456,24.922054818813848,10.762055267230284,6.910979777503768,16.06126505396765,16.258349175259124,24.922054818813848,6.910979777503768,12.79020240384353,15.541710664117153,16.258349175259124,24.922054818813848,11.14054948490683,10.83807665916328,13.266024853096695,15.995481875555239,15.541710664117153,16.258349175259124,16.92321595900875,15.541710664117153,17.460979786632056,9.93275466676448,16.258349175259124,6.910979777503768,16.090678804441243,7.8617406096326174,24.922054818813848,15.099733412117113,6.910979777503768,12.841279160699884,13.975419648644904,24.922054818813848,14.946805256049371,8.555848162570122,16.079961844613937,6.910979777503768
points10,6.3899456537277315,10.370880460863964,20.746264810377866,18.082814539296937,20.34818190240756,5.453057024877792,14.105901933382793,15.902102140656348,23.792951725134035,12.205677966307123,14.41499382416929,17.750832953279367,20.257513983637306,14.434917957609427,14.97242196268477,16.42841408320443,16.46422283605522,14.97242196268477,5.476548213432315,16.42841408320443,4.667413622634491,14.97242196268477,13.25611381376669,21.593963060285738,16.42841408320443,14.97242196268477,5.4110709260582395,12.70360514049269,21.593963060285738,16.42841408320443,7.629113558084569,10.59360740611746,8.58331340604989,22.530472143910725,12.70360514049269,21.593963060285738,17.168084448611452,12.70360514049269,15.470536011328933,20.792130138444595,21.593963060285738,14.97242196268477,22.63126797353047,12.267942008194193,16.42841408320443,22.51366442368765,14.97242196268477,15.977660233915426,16.802971247356396,16.42841408320443,23.25375645907392,13.094256052117935,22.057576978647806,14.97242196268477
