,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57
points1,18.386109563245316,10.985472390967752,8.998561571518943,6.283963588795045,23.03310332340861,18.55023619810494,12.540326916923426,4.350269423108174,18.221266730609702,22.579620197343935,22.687079980314515,17.149793380179737,4.899545692671239,17.53315989879573,17.38094966706561,10.828906470161826,17.142883938920047,19.618433424643808,24.668790192542982,6.069105125765778,17.031005036108294,4.367961015312448,5.961303265870402,18.09728724718615,16.243508416719628,22.46951466852787,5.243735752589912,22.577316528423243,17.49267606543453,13.109449962234457,16.916570368476673,4.6191942566367326,16.221045215365255,16.243508416719628,7.981865795868829,10.883490606570506,14.65376597951449,12.463237216788162,13.109449962234457,5.865571637262915,10.46574152336055,12.712741514798147,7.846861031863189,14.378200836224726,11.976211673958503,4.477370105453537,4.885985064500082,16.162781500154622,4.211219491951819,5.763657102635121,23.303078000439026,19.78409122805807,12.642983888332836,23.749128025759184,14.378200836224726,12.04788997719364,16.162781500154622
points2,14.11380556059885,14.729292318544614,15.315715236846275,11.83707794761041,15.211097999480467,11.254794832649655,22.88342925188996,11.761979129034012,17.210276917212223,15.889547259781896,17.096893911531176,12.54995088393818,12.501776721975412,12.936379926792972,10.565843489822065,11.916282477442865,8.561172897144235,15.725439691903462,17.83372074323663,12.780474584815805,16.705238195739955,11.513311274568705,11.569284584249193,17.08307914805604,6.634605835290153,15.758145209477842,12.2322113915011,16.96933521004445,11.932665226487847,23.32083628780693,9.49961588301258,11.285838065216772,9.694027348657938,6.634605835290153,9.614836338945416,17.624445457737657,9.952136054020189,21.071824112095896,23.32083628780693,12.447319395894437,11.48232056329688,21.867005131915175,12.936702077326624,21.38112074682135,20.758612823946113,12.058179618354663,11.507811588445856,8.610647756977789,11.40421170602642,11.860108047350902,17.26149333226174,18.14845392206963,20.066922389357522,16.544009991245282,21.38112074682135,17.663570790288283,8.610647756977789
points3,13.088522820090468,9.352778090547277,15.487718391032638,14.90124535422403,23.789738100095743,8.347292215892411,19.410246010911713,8.55031634449172,16.593597406319457,15.707390277704128,14.012270609711475,11.66051429812169,6.541388168549354,7.3026673325420255,8.186214147845996,13.64698859789073,11.682528356288215,21.316182996464597,18.57779505999131,12.963211427549682,18.520780592121802,6.944650395548027,14.663727173099494,16.464436560141916,9.422053434558395,15.575408366743966,5.030604491150741,13.874892621194153,14.554356110649179,19.891882894081515,8.056946825259399,7.181810373520089,6.164543387258244,9.422053434558395,12.283032820567172,13.264277850409611,7.726759059652487,16.62743333908948,19.891882894081515,5.2406427406827065,12.102409368173197,20.172286788049565,10.536708577808621,15.652069678860776,17.56426199571855,6.258248075591056,5.309733092850111,7.141685032095544,5.981439489102951,5.538826306439584,20.864608402858245,15.475900076226647,20.668471543617994,21.150885749416496,15.652069678860776,16.619305950010883,7.141685032095539
points4,17.563849335821498,10.962374011333965,12.955993118825434,10.114290422064753,23.342095286853347,15.391413418348737,16.812919870264984,7.822028556924051,15.787372497311216,18.38857038289914,18.831182493125155,14.32108992673426,6.723095781318871,13.83566270756985,14.8457637749246,13.087771998619946,14.218827070078062,19.642452167235675,22.600200252513922,10.273496316793995,16.734815620617077,7.710437982027493,9.829475238623345,15.655645193897847,12.572966050685565,18.26512347749965,6.78887536774703,18.7091445556703,13.530322721876175,17.327632848329863,14.25106874461232,5.3381538471481225,13.552867069272105,12.572966050685565,11.28044426896677,14.23377529390108,13.946195256682042,14.897668196483878,17.327632848329863,3.3738131214235394,12.913091467153079,16.454591287417976,11.474146889545663,15.693240507068655,14.968649928117316,3.4889662321487815,2.7922239567511844,13.448699218062922,3.1245026782106606,3.8233373978576215,20.61790849483304,16.480125929844892,17.57069708568065,20.378692679832195,15.693240507068655,14.717474505065738,13.448699218062922
points5,12.65186973546286,9.48576125081733,9.740500034766201,4.3632206152901825,17.559164306189718,12.977074237267132,20.45097027787212,14.223671448453317,18.73942834667591,21.793883028791196,24.620645529015185,21.039801877822274,15.325765336015568,12.389409600942226,13.01175244034781,8.324452611267514,11.289898963077999,21.177901075991354,18.08167566171813,6.8573435328924734,19.805641092196375,14.659144947617307,4.02158259440192,18.61709832807789,9.151991171336288,21.681276261401173,15.066140937652683,24.517037199891725,13.759174607876785,20.919353879494064,11.437025525195267,10.892986061843795,11.420493322972346,9.151991171336283,15.11308373275762,10.670516740055742,10.431006655703456,18.44919744816925,20.919353879494064,12.191353818098413,9.944715266506133,20.129572074389497,11.264647347829253,22.78498041516895,17.966073338195866,11.350888629826432,10.883653644132284,10.583368064451605,11.041608618078362,12.371249337423098,13.40610982006671,12.641227479436148,20.627280297447715,13.371862775382573,22.78498041516895,7.288701024624481,10.583368064451605
points6,20.842914255129347,13.742002156323762,12.971634002094264,11.976697365370915,21.580275372123186,17.662173558240575,12.829829882435535,3.818412310279303,14.664796227390639,18.37200617448819,16.956342416700632,18.390314253987487,2.994822566704439,16.131454022115435,17.267852853472313,15.549698356138721,19.114701858839705,16.75206877350292,23.525501776449776,10.290113254080037,13.544590309929786,2.360335625374734,11.710283496911762,14.529495424872348,17.370438947095412,18.248506540213608,3.3762546008949554,16.82833629738188,15.050120573232983,13.395266202614193,17.56982663466197,1.9313423387766335,15.280020096642412,17.370438947095412,6.751955811687314,10.083387984167318,16.159586871482727,10.882954453552705,13.395266202614193,3.6452028893204234,14.041873865955047,12.41182229047251,10.082867320366175,8.90846812902908,9.958281230580969,2.2898349183568873,3.1722742197839797,16.827943825266416,2.448292553069846,2.9614339850920666,25.010137194694646,21.016009747142206,12.850853133591487,25.773546336792954,8.90846812902908,10.805476763450418,16.827943825266416
points7,13.008058920702558,11.336482929429778,13.027899514586846,8.567880315612847,18.07173539361498,11.874413201724707,21.165070710079753,7.259062590328178,18.07831042952103,18.312419151219995,20.387916187973353,15.044619072438843,9.394675735254069,13.036935732231562,11.934938329434138,10.214612585227254,11.109203188135094,19.25343674937825,21.65389075597461,10.349889960829017,20.39005848941094,7.463251019345288,8.267785990540851,17.95387587304126,8.638509205252591,18.188729833464627,8.467644983077605,20.270833803752797,12.74568206628826,21.62436047735772,10.029351597477032,8.187274254340204,10.072880763985555,8.638509205252593,7.730323617085996,13.154089424223832,9.587069311599997,18.285878028392172,21.62436047735772,11.567360068363373,10.609488154026591,20.887828786002213,12.192436175382252,22.080808258357447,18.150994826921274,10.346261517054893,11.000067261663792,9.150038280677704,10.332757131521975,11.146037782086482,20.79592493899506,20.036044194014,19.358208084521994,20.62794725491913,22.080808258357447,14.994541442261228,9.150038280677704
points8,20.841872141607727,15.040589761987354,15.268328358656733,11.29521224087246,19.225814310492698,17.700867154271776,15.535694454536403,3.4684829418293748,12.683449510594281,15.939731518099276,17.64237702771251,16.641147763733656,3.7674359536325706,17.102662641324375,17.555415393560338,16.776871911213856,16.643835259458733,15.401738493719755,24.41305643467935,12.730130574856611,13.242496171670298,2.930451772747254,11.022065030660748,12.54184148342788,14.643187449206797,15.808489219437037,4.075998947289554,17.516554763632897,10.377149576329616,16.06667247856217,17.84879064456338,2.381155418253092,15.981315161210732,14.643187449206797,5.5492195470597885,13.562143278851257,16.920716105789456,13.923623576338956,16.06667247856217,4.68121986525834,16.034174398017818,14.732078319800973,14.36067905010101,11.68076299357014,12.486931001964903,3.1218746323119233,4.109085534193208,17.11199215216896,3.246523090547104,3.8533379663564964,24.632746688610883,22.220710169957922,14.882747985088503,25.198661413568928,11.68076299357014,12.893456053035356,17.11199215216896
points9,13.12504945056254,15.045122930608372,16.06126505396765,14.191906829127909,13.703650619567942,8.856303533428246,24.5053017967935,14.053681605298182,17.460979786632056,15.099985549022149,14.726344566202004,18.422389558073267,13.595754026997918,9.724255503227425,10.237161958292269,11.989167537460805,11.16230370914221,15.397024699420761,14.676649612747113,13.572549708821747,16.676912796307327,11.962881996053456,13.947380103669783,17.334580080381244,6.910979777503768,14.966070085471902,12.79020240384353,14.591239690623858,12.841279160699884,24.922054818813848,7.88162400109855,10.762055267230284,7.8617406096326174,6.910979777503768,10.83807665916328,11.14054948490683,8.555848162570122,18.727159937335344,24.922054818813848,12.965447599958715,11.230231690662619,23.087839779370004,12.104923033941057,20.93292289613578,18.096652508182313,12.619682696752443,12.194037340216255,6.963166825075516,12.285617564096857,12.423127033700393,15.995481875555239,16.92321595900875,22.79353327213851,16.090678804441243,20.93292289613578,13.266024853096695,6.963166825075516
points10,18.082814539296937,10.370880460863964,13.25611381376669,12.78715834287832,23.792951725134035,14.105901933382793,15.902102140656348,6.3899456537277315,15.470536011328933,18.07073272283886,16.140470930358525,20.34818190240756,5.453057024877792,12.205677966307123,14.41499382416929,14.816465740934614,17.750832953279367,20.257513983637306,20.746264810377866,10.592345750062181,16.46422283605522,5.476548213432315,12.528752148457077,15.337800121746941,14.97242196268477,17.94627404423147,5.4110709260582395,16.00986764583657,15.977660233915426,16.42841408320443,14.434917957609427,4.667413622634491,12.267942008194193,14.97242196268477,10.59360740611746,7.629113558084569,13.094256052117935,12.237023633610384,16.42841408320443,4.870402971171671,13.231679574044358,14.899554758422264,9.233762961941746,10.756489888835493,11.354045290488864,4.700281830836125,4.536726478825747,13.635899213405096,4.453644556285397,4.595429409512877,22.530472143910725,17.168084448611452,16.406871929260546,22.63126797353047,10.756489888835493,8.58331340604989,13.635899213405096
