,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60
point1,2.01720929003,3.26552691165,5.47848651208,10.4319989607,7.17517526213,2.01539051939,5.61999396281,1.3342822253,9.79608829288,10.8390699073,6.62020369363,9.51353811877,7.7648052584,13.7143957906,10.0344963637,9.8334578054,10.8612652927,6.96284974584,10.9597049613,9.76950894439,12.2454041509,8.96882804351,10.1753000358,12.3990642552,8.47987724867,7.35576512353,8.33105128443,10.6434593941,6.82122549419,10.6374943252,3.34039135722,6.79226972417,1.0102785673,1.59865104788,7.99196394027,10.4277528147,10.73430317,3.47807873982,8.53811519458,3.92603738372,8.23475038315,7.37793061344,4.51144906298,8.72781156781,7.37793061344,5.57465558554,3.18816351558,10.6857825027,8.43406938781,10.825427898,6.42676457872,8.69110838423,10.7965101525,10.1878963837,0.591870870063,7.40839768066,13.2301810933,9.71918172886,4.22885716185,3.82640611741
point2,0.592732094867,1.58842082049,7.58615673813,9.62301085621,6.81604924768,2.46660101949,11.0552078582,3.56262098658,10.0704698332,8.5224756055,1.17478989305,4.9269909306,5.81983165243,13.2862400796,6.66331615233,9.53330247465,9.72815181163,6.69869077794,9.83093504065,8.81852146478,11.5056230189,9.3147576939,8.95127014222,12.3560474967,10.3374435052,8.0101476262,8.19237666098,11.1251099172,6.09079204687,6.80311076872,0.587845009254,6.34083461788,3.49984588708,0.323658291026,9.92649466675,9.33406541497,10.211498982,8.60587208512,6.26604626698,4.66663730902,9.10744726061,4.31211331267,4.51618538506,8.75945880524,6.361812215,1.81360677487,0.323658291026,9.69815769313,9.14446706033,10.3770044164,8.77188227806,9.18368251949,2.1767376474,11.346530354,4.92734657029,11.8015588282,8.8852723478,9.79584972533,3.13706081076,5.32143749517
point3,3.5117589779,4.32719871937,6.88178695937,9.87072997113,6.97212970934,1.98112198979,8.21024760403,4.19528459716,8.97091978401,9.86161579722,7.68050721417,3.11943918357,7.89952610865,10.7310983667,6.96788332091,9.64632289169,10.0534236331,7.59234490635,9.97106928341,9.28653697002,11.925995711,8.90106901257,8.90590742468,11.859453254,9.48727731321,8.68346487475,10.0841174292,10.3741809462,6.03312341849,10.9014326077,3.6349765423,7.29083906011,1.68302266506,1.30684550031,7.54440037749,11.3879903691,10.1632093793,2.53366301282,8.0827132324,1.68302266506,4.94710505157,1.68302266506,1.30684550031,10.0061296847,2.53366301282,3.40337680669,0.0,10.9241815576,7.86055316524,8.39214995739,5.81156093928,8.5003399853,2.78573885352,10.7175993174,5.19943285721,4.35967577677,13.8920873965,9.4865374036,0.452595434703,0.796597754048
point4,3.66361787431,4.50764877794,6.65906827484,10.1961840717,7.84337463893,2.87424613872,8.30631693043,3.5735563062,8.52461614952,9.51157279975,6.46916477404,7.02989454966,6.80064109733,12.6594741809,8.2998902747,9.67073059468,10.2646185279,8.89029164084,10.6393045278,11.484455378,12.1077074824,9.09051472989,8.84686309394,12.3556979623,9.50669634718,8.4099254829,8.10167633647,9.47352717716,3.97958639088,10.1446582428,2.478531813,6.83700972811,1.63723926617,1.46409316524,8.10719091588,10.4994074325,11.0502091781,1.46409316524,8.32384290297,2.38446431478,8.76989072495,4.94963297692,2.05869746918,9.29759725505,6.89299809306,4.84756603745,0.0,10.2654157978,8.72141709358,10.3810886578,7.24373571573,8.46266585737,9.63479290295,10.5881336934,3.00644165782,5.98337672186,14.9829623896,10.5446167535,3.69609399679,4.6188200808
point5,2.65574107476,2.82154695883,6.53945352515,9.73826456185,6.56696732901,2.14120387736,10.1491501063,2.96762975347,8.04723845046,8.82153484143,5.86142938907,7.75570880302,5.57024128787,13.5567335534,8.0047541788,9.58756939326,9.86065092904,4.44306951888,10.3912973001,10.0501207304,11.2183452717,9.05995007632,9.14499975918,10.9340667687,9.88167073657,8.16907817149,7.29522710472,10.3793350422,6.70308685303,9.34617462674,2.80109655884,7.18520251499,8.93061612244,4.10463020161,9.85356999684,10.5542722682,11.8750735297,4.77807187141,6.55828906612,5.14555518772,7.69416981091,5.13392103177,4.05614996111,9.43891033996,4.30465705619,4.10463020161,2.39618689563,8.06319551714,8.03946195482,9.51990943489,7.2046004869,8.30755147692,10.337164716,10.2868349542,3.25220369616,8.704508894,6.47775017276,11.0648370555,2.54413913745,4.10463020161
point6,3.46785331372,3.58191760772,6.62024328973,9.70682924127,7.75850972617,2.51679681539,6.84276517646,2.80966138944,7.6639351836,9.62838721143,7.22044604691,7.01275860691,8.00223557143,14.0211534962,9.12605911607,9.96288733179,11.134355724,8.11864523802,10.3278220717,10.1380285569,11.9405264983,9.4617638655,10.273306072,12.099584514,9.70311800763,8.10070438415,8.61053397613,10.3951485084,8.29285075404,10.3181473418,4.11403380055,7.12129520692,0.515409693386,1.83842742191,8.93805344093,11.1594866509,10.1818728031,1.19415010559,7.96845368478,6.79334969778,7.83103483219,9.70979033602,8.33742566428,7.86596828884,8.18400252111,4.31413093635,3.32433538608,10.4170191389,9.61738848683,9.15677075295,7.34908214639,7.8844391865,6.93170669211,11.5885132063,3.12575027527,4.46199340536,14.7114034878,9.90009243434,1.65388548872,3.05298965825
point7,1.224966365,1.69117679681,6.57200741498,9.64051067136,6.75488750216,3.02384082926,7.42419988831,1.224966365,9.97363997302,9.50897724457,4.48542038655,8.63317688533,5.89940042972,15.5977528771,10.9094656108,9.14545838529,8.63424474929,6.33635123579,8.32289708014,9.93144520785,10.9277409314,8.63734941083,9.580448904,11.2274895968,9.61366793048,6.43628845611,8.92632564905,10.2135417019,6.92692453482,5.80315727693,4.12893672858,6.29156488232,2.04292444517,3.9323068925,8.92102863473,10.2264844462,9.86884878536,8.15929616188,8.33489895072,3.60238561311,6.68783055497,5.26490418879,4.72314349487,8.69292928643,6.36003587504,4.69858521848,0.0,9.11917717795,7.84647451116,8.65354016657,7.51540023116,8.42748046781,1.224966365,10.1532480077,3.24348629552,10.922777641,7.22793356607,9.00980063077,0.919683313397,1.69117679681
point8,2.85485342652,1.75047787844,7.22672044861,9.75869126501,5.95210288448,2.40585624995,7.37343071197,2.30486145149,8.92200750668,9.40627942402,4.66471037684,5.70519277354,7.01271391894,16.7985857096,10.1139114254,9.3495665324,9.27643385344,6.82204177233,9.64191084724,10.7191320908,11.5007472898,8.42123171632,9.65991385799,11.6172149027,9.58247132649,7.44340773679,8.99575302059,10.021951591,6.55165443588,9.2125231353,3.94047687309,7.19175016045,0.441802154629,1.95099089988,8.98354944691,10.6660375502,9.81716115019,2.07884889787,8.81811877908,6.7566230352,7.54378198132,9.17456121869,6.27937843123,8.32623621596,9.28557329755,5.93530651225,1.05304180731,9.64469631497,8.4122014521,9.66246722079,6.54220077426,8.62091992182,5.71683729132,10.4939154769,1.95099089988,5.20278990612,12.7596219174,8.4716548946,3.7968676631,4.68494774417
point9,3.99212487426,2.77273024777,6.54669231412,10.4882518866,7.69022151943,2.57997659719,10.1476246958,4.28790811113,8.34397626007,7.60053737907,2.82493074529,4.93423340742,5.24461690897,13.5310036784,5.9444110473,8.5421961302,9.29804423311,7.89355030225,9.79688323324,10.6185965682,10.5991782937,10.0562990146,7.73211992875,11.458124609,9.55519112786,8.43788104578,7.9168587647,9.72749506903,5.56136585432,7.40484353074,2.36440434153,7.25163389156,6.91951885875,2.70763521955,10.6925370448,9.60472556386,9.51593632628,9.94472523628,7.33488107833,6.62422813402,6.59562748015,4.09121744489,5.51769458095,10.2082587486,4.22527492987,4.28790811113,3.77871322109,9.64299031296,9.91278756577,9.29804423311,7.25788751326,10.2911822132,0.352306552906,10.6370051808,4.34793489646,8.98096210781,8.57186638633,9.59701711137,0.635336494705,1.80306167509
point10,3.64249364243,4.42355800269,6.84951144203,9.46446610892,7.94721612097,2.29631056071,7.85678032261,1.20414071678,6.02005098306,9.87131233293,6.11810427455,6.28421057865,5.90718391378,12.5786439378,8.28541146688,9.29213064139,9.39491065368,10.6807287218,9.42669456347,10.3324282277,11.5436070431,9.53965707536,9.05276637378,10.8765553156,9.53716403146,8.19843030747,8.77425336136,9.80871164098,6.82200351961,10.8178470625,3.03068920407,7.45731520725,4.05726829917,0.724213686757,9.20868063452,10.947819546,11.3767711466,0.724213686757,7.99224159684,4.95381929888,4.98385095361,8.60581283656,7.28701971968,8.19843030747,6.13158331121,3.81146075489,0.724213686757,9.63711932937,8.3956540873,9.4294255728,5.70385098504,8.23946964751,8.16276894819,12.2375206984,1.20414071678,2.77989003934,13.2327851527,9.72115388701,0.0,2.77989003934
point11,3.49207108711,3.553372792,7.15170663424,10.2534456958,8.30125839364,3.38196163969,7.96522441036,2.14639454906,8.11540785541,9.54053298277,7.61729848284,8.35323064938,7.34291914208,13.9278705345,8.78873790558,9.97507412066,8.79431513413,4.27957529669,9.97753752461,9.37540657659,11.5273988091,8.68575797848,9.35478712372,10.9517582493,9.87983439759,8.05626920509,7.58547336475,10.5232777015,6.04695590609,10.0162372239,4.69194726147,6.73706477604,3.96029855212,3.32142306324,9.15240147023,9.97875335327,10.7908290435,5.1404637475,7.23784092713,7.04070616547,8.03286123228,6.2953740617,7.02181282358,9.31555490941,7.13606831219,4.03760186044,2.27964957856,8.57235916831,8.58493620135,10.0168361387,7.05276365721,8.63087138301,11.1208793646,10.1764973138,3.65155690485,9.34150992799,6.61204576074,9.81000762032,2.27964957856,5.94028187953
point12,2.94118144936,2.66327629754,6.56168966691,9.37629255419,7.86032347182,3.15309191722,9.79618241072,4.84831746984,8.61473192601,9.50114651591,6.69547887056,5.58360933973,6.33231051129,15.1468868354,9.85939346057,9.35375995088,8.35973638496,6.21180070838,9.06011225159,10.2371741021,11.2396581928,9.26063496428,9.21647669166,11.4924490868,9.97806689361,8.05352409677,9.01869814959,10.6358178632,6.57078319078,9.57378160557,4.93181540833,6.06795057305,4.94795130165,4.54311226857,11.3354741,11.016850064,10.219011171,1.7668071513,9.45178601429,4.2365691519,9.07304363335,5.75131642335,5.12868932885,9.03295212155,9.55019460842,6.96494150464,1.02140865694,9.50095537905,8.8400257011,8.93415082783,6.0439809248,8.78831376679,0.754117859552,10.5802962599,9.48395681597,11.8941963007,10.2700383053,10.124573699,6.83215582464,6.81466577293
point13,3.9703475182,2.36429227014,7.1454431001,9.24060531982,7.8107579842,2.69826293655,9.21703194414,3.43348028644,8.17414172171,9.30999013008,6.62992775596,5.12572135034,6.75472719381,13.8391545687,9.32770757111,9.68605399299,9.83099681718,8.48957103273,10.1496201161,10.3366850725,11.1663200253,9.30370084988,9.09818740126,11.4970584359,9.49071251575,8.61030142359,9.25085501551,9.94214058775,5.9942425431,10.2091487104,3.26716121802,7.24658860286,1.12201002013,2.04868957271,10.2625999352,10.946292231,9.49699155068,2.51245446287,9.29024468247,6.10524015819,9.03811239058,8.42025079371,5.22768717397,8.80754490733,8.88138319783,4.02627776231,1.12201002013,9.47549431282,8.42683920201,9.3607834506,6.37196826507,8.935539306,6.44099205093,11.156196869,2.93860572791,8.93669682331,12.8161016623,9.68261543152,3.48492437266,4.5455298121
