,dim1,dim2
point1,11.358864169525068,8.934430858930957
point2,5.215786007860058,2.7651315707999333
point3,5.7885292785833755,4.631928405285929
point4,6.446126284994628,3.157074318086725
point5,6.976303435340559,2.9768593474707306
point6,7.711887348560783,4.870784903049558
point7,9.769221253871393,6.931386924844411
point8,7.1919582987317705,4.503332731422173
point9,2.88105159090867,0.0
point10,5.187990726243863,3.8238994918379694
point11,9.121996550812248,5.874826331732738
point12,6.756457440392843,3.7221285527039787
point13,5.928378065877405,2.8475985692047114
point14,12.283071099587016,9.747064594703545
point15,9.557776246302923,6.182552021505752
point16,7.416736567258713,3.8472083170074325
point17,5.301987621999465,1.9561764720037418
point18,6.099005404983374,2.8013206123385714
point19,6.254444148258749,3.9654318592123383
point20,5.595943654586233,2.892702752709277
point21,4.5793030462329245,1.9167989704819681
point22,5.844192730903301,3.5265940809487875
point23,5.991645911892487,3.3476782721805716
point24,9.873297245719193,9.079427878287051
point25,3.760254310248408,3.887316280350419
point26,5.461326485603658,3.197785940084913
point27,4.180413159234802,2.5906739006824346
point28,8.13581065364879,6.2097970629939265
point29,3.6450145982211293,1.4332892366208139
point30,2.8843965534242115,3.3682916073984965
point31,8.640820978947529,4.635595087863045
point32,4.4468816443848755,1.2942977092133643
point33,6.15812751180337,4.243552135551721
point34,11.425221518103118,7.99908274188742
point35,7.602036005550423,4.642072001806204
point36,7.966246837925231,4.24402515952155
point37,5.7956019806195735,3.365373496898071
point38,6.638391659923642,5.250104791354654
point39,9.81845880617392,6.8040705636761505
point40,11.130310914078665,7.920642891584271
point41,5.498170361825315,3.145809734815886
point42,7.544855923564406,5.406851288929081
point43,7.322115724052719,4.325370345973006
point44,7.743138245481643,4.596670519854279
point45,6.741929681703343,4.068115566699019
point46,5.898659348364798,1.7478216624282172
point47,10.373855159781595,8.013858048142922
point48,3.4309792001631796,3.0104295218362744
point49,5.682208657046741,1.667493142351981
point50,6.404716499490859,2.545889906478342
point51,6.333449247024322,2.2262476347738738
point52,6.507829104190921,2.78764823342616
point53,5.007867403069072,1.7247051215753866
point54,6.944923829737169,4.558498789903735
point55,5.6553422059067575,4.418081929382601
point56,5.7448144435216815,2.855943565710899
point57,7.2991148316587955,3.789059587491489
point58,3.8538708114499145,1.4398306996952743
point59,8.571007113335414,5.242324954374502
point60,7.548782445654339,3.6431201633496504
point61,6.242114971626002,2.8784089159647306
point62,5.371248145430782,1.4305725978277957
point63,5.157467326720244,1.454659217070943
point64,5.638101311205375,2.289863179377005
point65,3.823800162452073,3.191395421117782
point66,3.6121153406360516,1.9101771682031405
point67,6.379276651476681,3.048875379655565
point68,4.613926868625792,3.251868966166993
point69,7.250768691394498,5.145077837667613
point70,6.022644106460066,2.803423907412362
point71,6.241967415159996,3.458964930212419
point72,10.077398848557564,6.178382220933897
point73,10.29740497226752,6.590608768444337
point74,4.958140399743713,1.2766625805041192
point75,0.0,13.454343117232453
point76,5.3295071242927685,1.6242333261978736
point77,6.980629202975116,3.55911362012894
point78,11.515959468848521,8.713291168504714
point79,5.657807235077182,3.5063250331469016
point80,4.980040351226332,4.025612283881971
point81,5.882117484801857,3.2584553013176265
point82,4.641957395716276,2.59492297246105
point83,6.001210349163708,4.9644647787960725
point84,5.06768872489485,1.1850804919044975
point85,9.322658689253242,7.263400016366796
point86,6.834029982383011,4.084912587134248
point87,6.476528041710297,3.973903652533261
point88,8.531717077552308,5.1348496854750385
point89,9.176470235980302,6.8384515363184875
point90,3.898674100946039,1.4621040036283708
point91,7.029827422601294,4.355646435941002
point92,6.682124463401418,5.350872787800191
point93,7.062916235644086,3.5992250710285907
point94,14.253390357193817,12.047736726923375
point95,7.462566261048397,4.362520036101698
point96,5.374409185542151,4.193380605495596
point97,4.512530610323732,2.2394588499564856
point98,6.281192933491587,2.7409134730200297
point99,5.271024051080078,2.2059056767847154
point100,7.5209492399765585,3.70848901540552
