,dim1,dim2,dim3,dim4,dim5,dim6
point1,11.358864169525068,8.934430858930957,9.621261149861189,4.323264960163692,7.751632100647164,5.716736923756431
point2,5.215786007860058,2.7651315707999333,5.65361121849995,9.382137900485583,3.2362317564941483,10.433568294830728
point3,5.7885292785833755,4.631928405285929,4.325913893147656,5.692015226176959,4.297378976628046,9.121864701103103
point4,6.446126284994628,3.157074318086725,5.328182288677884,4.1474079729083835,2.671722384144406,10.679570386326919
point5,6.976303435340559,2.9768593474707306,7.389491826623802,4.281682594651736,2.7694653970607477,11.421249000187485
point6,7.711887348560783,4.870784903049558,6.0457795555760985,3.4872259360356166,3.7595421557213298,9.458644852454476
point7,9.769221253871393,6.931386924844411,9.88035100579358,4.840441422047988,6.186474130235411,6.960142536607976
point8,7.1919582987317705,4.503332731422173,7.011209795301948,4.4985269343652785,3.9067628221075443,9.136472612446514
point9,2.88105159090867,0.0,9.671731878153082,5.514960164678372,12.284382546883581,0.2652583762504512
point10,5.187990726243863,3.8238994918379694,4.053516970130515,4.1817177429941506,2.542365825641363,9.764291505374205
point11,9.121996550812248,5.874826331732738,8.269889623651455,3.3562304957586506,5.1535004725361375,8.674548428162494
point12,6.756457440392843,3.7221285527039787,7.226558041104976,2.923266854586687,3.508605414618135,10.142562623607558
point13,5.928378065877405,2.8475985692047114,5.318082682048601,3.899103206768662,2.1319461658059584,11.026533018137615
point14,12.283071099587016,9.747064594703545,11.115594455595714,6.02159343964822,8.331520550892353,4.849719863143343
point15,9.557776246302923,6.182552021505752,9.39669779420862,5.021109477627044,5.9297375310169524,8.735985612433579
point16,7.416736567258713,3.8472083170074325,7.608634155333059,2.7272830183096706,3.30312343493261,10.64001453691536
point17,5.301987621999465,1.9561764720037418,5.38369139348237,5.332295842978673,2.5868884006312918,11.491123099606853
point18,6.099005404983374,2.8013206123385714,5.945968864819168,4.925787114748728,1.9980901778766487,10.687894082405977
point19,6.254444148258749,3.9654318592123383,6.864943923117716,5.461524194410883,3.085794939570696,9.619186173670874
point20,5.595943654586233,2.892702752709277,4.717403283915654,4.903671671177444,2.2433903285031214,10.692616493436487
point21,4.5793030462329245,1.9167989704819681,4.581285640961772,9.025995090474744,2.8099186033646038,11.130629403578299
point22,5.844192730903301,3.5265940809487875,6.539194347102042,6.91955436289233,2.815067582525244,9.725309941320134
point23,5.991645911892487,3.3476782721805716,6.992741385938526,3.559743261180911,3.3119120482492166,10.987695300686328
point24,9.873297245719193,9.079427878287051,9.340067045733809,5.829231417179461,8.013233392405903,5.878881419394374
point25,3.760254310248408,3.887316280350419,3.601813472123964,4.484927601803273,3.1135042541980393,9.275217139947797
point26,5.461326485603658,3.197785940084913,5.0145785247526256,4.2885963016248905,3.181572256348368,9.877083409119294
point27,4.180413159234802,2.5906739006824346,3.091246199433494,10.159065800907957,2.1597892075241245,10.317191202271783
point28,8.13581065364879,6.2097970629939265,9.069732271068007,6.246149307248195,6.178051355739328,8.51927152237131
point29,3.6450145982211293,1.4332892366208139,3.1835747317302485,6.36508288993226,0.0,0.8615626162474116
point30,2.8843965534242115,3.3682916073984965,0.0,4.775844154586618,10.816483767713786,3.005910137848489
point31,8.640820978947529,4.635595087863045,8.541219869469503,4.962537991879288,4.609477967883119,9.912321387949756
point32,4.4468816443848755,1.2942977092133643,4.9475877927275524,5.7255095307567005,1.7121893454012596,12.437148458177463
point33,6.15812751180337,4.243552135551721,7.157997602152256,5.730548631112259,3.6767470548689136,9.660672564687424
point34,11.425221518103118,7.99908274188742,11.23141024026547,5.155464078768834,7.666794361710013,6.786816103374317
point35,7.602036005550423,4.642072001806204,6.342984872982162,3.602319489134232,3.848990929031607,9.177107820784236
point36,7.966246837925231,4.24402515952155,8.024808900484215,5.6861255810857925,4.0559881997230285,9.979857348928416
point37,5.7956019806195735,3.365373496898071,5.774359514546258,4.460408981780036,2.3473841680311622,10.297722096076157
