,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18
point1,6.725768798718206,11.358864169525068,9.621261149861189,8.934430858930957,7.751632100647164,6.730855276933005,5.716736923756431,4.684561614144447,5.491243728159417,9.803326907798203,8.296898635915607,7.490216521900637,10.594388776493942,5.71673692375643,4.684561614144448,5.491243728159417,9.803326907798203,9.748949616111275
point2,4.902072593748376,5.215786007860058,5.65361121849995,2.7651315707999333,3.2362317564941483,6.345763418714958,10.433568294830728,11.078593396125886,10.070810803383633,3.058346809541621,1.9028668539341673,2.9106494466764192,3.649061045855793,10.433568294830728,11.078593396125886,10.070810803383633,3.058346809541621,4.964341619258766
point3,10.456143671145766,5.7885292785833755,4.325913893147656,4.631928405285929,4.297378976628046,2.9166601328393273,9.121864701103103,9.143793715849409,8.994584001571123,3.6872077585275114,3.8376665342106433,3.9868762484889286,4.003070019542641,9.121864701103103,9.143793715849409,8.994584001571123,3.6872077585275114,4.301395090716983
point4,9.33106537318669,6.446126284994628,5.328182288677884,3.157074318086725,2.671722384144406,3.6872000279606896,10.679570386326919,10.672373132555553,10.643342215491078,4.4092364555732315,2.3090871175045025,2.338118034568976,6.134633849051805,10.679570386326919,10.672373132555553,10.643342215491078,4.4092364555732315,5.75761981162415
point5,4.187837529728961,6.976303435340559,7.389491826623802,2.9768593474707306,2.7694653970607477,7.809783689321293,11.421249000187485,10.859152894063381,10.544210211755347,4.991360633961424,2.122307355996675,2.437250038304707,7.34609405985613,11.421249000187485,10.859152894063381,10.544210211755347,4.991360633961424,6.40192719063241
point6,8.949255261924819,7.711887348560783,6.0457795555760985,4.870784903049558,3.7595421557213298,4.169180931151838,9.458644852454476,8.896236259693623,9.540063828195374,5.799017434786395,4.085223990366432,3.4413964218646815,7.393847335552567,9.458644852454476,8.896236259693623,9.540063828195374,5.799017434786395,6.08271720484276
point7,4.944296728966377,9.769221253871393,9.88035100579358,6.931386924844411,6.186474130235411,8.375599118542127,6.960142536607976,6.760571542840016,7.078643595837579,8.057929967168603,6.220888707220038,5.902816654222475,10.178593970998199,6.960142536607976,6.760571542840016,7.078643595837579,8.057929967168603,8.13574989453487
point8,7.123356983149919,7.1919582987317705,7.011209795301948,4.503332731422173,3.9067628221075443,5.960247324052326,9.136472612446514,9.277073815793996,9.390751061842794,5.228145471039212,3.704386434266057,3.59070918821726,7.7079608775148305,9.136472612446514,9.277073815793996,9.390751061842794,5.228145471039212,4.980650448368754
point9,7.182279117736756,2.88105159090867,3.4500301095768737,0.0,12.284382546883581,8.149062250177145,0.2652583762504512,0.0,12.087380255271857,1.457845623031705,0.0,12.087380255271857,10.345681273832406,0.2652583762504512,0.0,12.087380255271857,1.457845623031705,3.10467981207426
point10,9.743240231428357,5.187990726243863,4.053516970130515,3.8238994918379694,2.542365825641363,3.036968174800822,9.764291505374205,9.981257147601863,10.77453701354524,3.0278281320329086,3.0002031024581894,2.2069232365148137,5.054779017314019,9.764291505374205,9.981257147601863,10.77453701354524,3.0278281320329086,4.595653963380295
point11,5.701506172172593,9.121996550812248,8.269889623651455,5.874826331732738,5.1535004725361375,6.842723569379136,8.674548428162494,7.855620055876544,8.126296470847683,7.347289857056326,5.125840194183508,4.85516377921237,9.188471637375578,8.674548428162494,7.855620055876544,8.126296470847683,7.347289857056326,7.702864079874506
point12,7.7681715858763765,6.756457440392843,7.226558041104976,3.7221285527039787,3.508605414618135,6.22832137851599,10.142562623607558,10.086735353296433,9.794566541118341,4.749974016116104,2.8947248967636203,3.1868937089417106,7.3838115022065365,10.142562623607558,10.086735353296433,9.794566541118341,4.749974016116104,4.798247499036191
point13,9.421373853439729,5.928378065877405,5.318082682048601,2.8475985692047114,2.1319461658059584,4.085539484368783,11.026533018137615,10.993122326537932,11.190788999626777,3.840759001445099,1.9883379235221217,1.7906712504332771,5.970204643411545,11.026533018137615,10.993122326537932,11.190788999626777,3.840759001445099,4.181652199799949
